Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
305	24 Sep 1688	25 Dec 1688	1	31	h							31	364	72								
				20								20										
				30								30										
				15								15										
				20								20										
				20								20										
				5	h							5										
				16	h							16										
				160								160										
				20	h							20										
				27								27										
314	25 Sep 1688	25 Dec 1688	0	96		EWBuT						96										
316	25 Dec 1688	25 Mar 1689	0	253		EWBuT						253										
318	25 Dec 1688	25 Mar 1689	1	40								40	237	20								
				10								10										
				25								25										
				20	h							20										
				10								10										
				20								20										
				40								40										
				15								15										
				25								25										
				32								32										
330	25 Mar 1689	25 Jun 1689	0	496.5		EWBuT						496.5										
333	25 Mar 1689	25 Jun 1689	1	12								12	102	35								
				10								10										
				23								23										
				15	h							15										
				6								6										
				20	h							20										
				16								16										
341	25 Jun 1689	25 Sep 1689	0	269		EWBuT						269										
343	25 Jun 1689	25 Sep 1689	1	40								40	86	0								
				8								8										
				16								16										
				16								16										
				6			index at img354					6										
356	25 Mar 1709	29 Sep 1711	1	60	h							60	907.5	290.25	31.25							
				41								41										
				30	h							30										
				70								70										
				40	h							40										
				60								60										
				12	truxillo							12										
				50								50										
				2	musketal							2										
				10.5	h & mosq		 + 30 Indians					10.5										
				27	h							27										
				52	h							52										
				60								60										
				100								100										
				12	bahamas							12										
				36	h							36										
				40	h							40										
				30								30										
				25								25										
				150								150										
410	25 Mar 1709	29 Sep 1711	0	22		"Lon, Bristoll"	+ “a parcel”; from Port Royal					22										
415	25 Mar 1712	29 Sep 1713	1									0	0									
423	25 Mar 1712	29 Sep 1713	0	975.10.2.0		not stated	+ 4854 sticks															
430	29 Sep 1713	25 Mar 1715	0	2413.11.1.0		not stated	+ 5388 sticks															
455	25 Mar 1718	24 Jun 1718	0	235		not stated						235										
459	25 Mar 1718	24 Jun 1718	1									0	0									
466	25 Jun 1718	29 Sep 1718	1	122	not stated		Kingston					122	122	na	na							
469	24 Jun 1718	29 Sep 1718	1				Port Royal					0										
471	29 Sep 1718	25 Dec 1718	1				Port Royal					0										
473	29 Jun 1718	29 Sep 1718	1				Kingston					0										
476	29 Sep 1718	25 Dec 1718	1	45	La ? Ciua		cf img477					45	45	0	45							
479	29 Sep 1718	25 Dec 1718	0	233		"Lon, Bristol"						233										
482	24 Jun 1718	29 Sep 1718	0				Port Royal					0										
484	29 Sep 1718	25 Dec 1718	0	0.20.0.0		Bristol	Port Royal															
486	29 Sep 1719	25 Dec 1719	0	15		"Lon, Bristol"	Kingston					15										
489	25 Jun 1719	29 Sep 1719	0	11		Lon	Kingston					11										
492	25 Mar 1719	24 Jun 1719	0	0.96.0.0			Kingston; stopped recording destination & port															
495	25 Dec 1718	25 Mar 1719	0	0.99.0.0																		
498	25 Dec 1718	25 Mar 1719	1									0										
500	25 Mar 1719	24 Jun 1719	1									0										
502	24 Jun 1719	29 Sep 1719	1									0										
504	29 Sep 1719	25 Dec 1719	1									0										
506	25 Dec 1718	25 Mar 1719	1									0										
508	25 Mar 1719	24 Jun 1719	1	40	h							40	40	40								
510	24 Jun 1719	29 Sep 1719	1									0										
512	29 Sep 1719	29 Dec 1719	1									0										
514	25 Dec 1718	25 Mar 1719	0									0										
516	25 Mar 1719	24 Jun 1719	0	35	Lon							35										
518	24 Jun 1719	29 Sep 1719	0									0										
520	29 Sep 1719	25 Dec 1719	0									0										
522	24 Jun 1719	25 Dec 1719	1									0										
