Press: Table 1
Date	Link	Headline	Paper	Desc	Desc				Add	
29 Jul 1731	Pre 1435	"New York, July 12."	Boston News-Letter (1435)	Sp seizures			"New York, July 12. (1731, July 29"	"New York, July 12. (1731, July 29). Boston News-Letter (1435)"	"New York, July 12. (1731, July 29). Boston News-Letter (1435), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105664F6F285CFEC%402353504-105664F71C79598D%401-105664F767C7C45E%40New%2BYork%252C%2BJuly%2B12."	
24 Sep 1731	Bur 3345	London.	Daily Journal (3345)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000251060/GDCS?u=camb55135&sid=GDCS&xid=4b81c191	
23 Oct 1731	Bur 277	"London, October 23."	Country Journal or The Craftsman (277)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000133505/GDCS?u=camb55135&sid=GDCS&xid=2b187e95	
4 Nov 1731	Bur 614	"Extract of a Letter from Boston in New England, dated Sept. 28."	London Evening Post (614)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000632515/GDCS?u=camb55135&sid=GDCS&xid=bb3448b4	
19 May 1732	Bur 3548	London.	Daily Journal (3548)	Sp expulsion					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000252377/GDCS?u=camb55135&sid=GDCS&xid=0a21a172	
27 May 1732	Bur 375	"Extract of a Letter from Campeche in the Province of Yucatan, dated Nov. 24."	Read’s Weekly Journal or British Gazetteer (375)	Sp siege					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001242714/GDCS?u=camb55135&sid=GDCS&xid=f8c30e5c	
22 Jul 1732	Bur 198	London.	Universal Spectator and Weekly Journal (198)	Sp seizures					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001496196/GDCS?u=camb55135&sid=GDCS&xid=43f6bc6d	
22 Jul 1732	Bur 198	London.	Universal Spectator and Weekly Journal (198)	 					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001496196/GDCS?u=camb55135&sid=GDCS&xid=43f6bc6d	
14 Sep 1732	Pre 1494	"Charlestown, (in South Carolina) August 12."	Boston News-Letter (1494)				"Charlestown, (in South Carolina) August 12. (1732, September 14"	"Charlestown, (in South Carolina) August 12. (1732, September 14). Boston News-Letter (1494)"	"Charlestown, (in South Carolina) August 12. (1732, September 14). Boston News-Letter (1494), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-10566526F709CEC0%402353917-105665271E266F75%401-1056652777B76ADD%40Charlestown%252C%2B%2528in%2BSouth%2BCarolina%2529%2BAugust%2B12."	
3 Oct 1732	Bur 3666	London.	Daily Journal (3666)	Sp invasion					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000253173/GDCS?u=camb55135&sid=GDCS&xid=0274a29b	
