Press: Table 1
Date	Link	Headline	Paper	Desc	Desc				Add	
20 Jun 1778	Bur sn	"""News."""	St. James's Chronicle or the British Evening Post	Amer immigrants	Prov scarce			"""News."" St. James's Chronicle or the British Evening Post, June 18, 1778 - June 20, 1778"	"""News."" St. James's Chronicle or the British Evening Post, June 18, 1778 - June 20, 1778. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001284142/BBCN?u=camb55135&sid=BBCN&xid=91ed4a76. Accessed 16 Feb. 2021."	
23 Jun 1778	Bur sn	"""News."""	St. James's Chronicle or the British Evening Post	Amer seizures				"""News."" St. James's Chronicle or the British Evening Post, June 20, 1778 - June 23, 1778"	"""News."" St. James's Chronicle or the British Evening Post, June 20, 1778 - June 23, 1778. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001284183/BBCN?u=camb55135&sid=BBCN&xid=6b68a75b. Accessed 16 Feb. 2021."	
9 Jul 1778	Bur sn	"""News."""	St. James's Chronicle or the British Evening Post	Baymen seize Amer				"""News."" St. James's Chronicle or the British Evening Post, July 7, 1778 - July 9, 1778"	"""News."" St. James's Chronicle or the British Evening Post, July 7, 1778 - July 9, 1778. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001284353/BBCN?u=camb55135&sid=BBCN&xid=0fb52e66. Accessed 16 Feb. 2021."	
11 Jul 1778	Bur sn	"""News."""	Morning Chronicle [1770]	Amer seizures				"""News."" Morning Chronicle [1770], 11 July 1778"	"""News."" Morning Chronicle [1770], 11 July 1778. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000849134/BBCN?u=camb55135&sid=BBCN&xid=800c1d45. Accessed 16 Feb. 2021."	
4 Aug 1778	Bur sn	"""News."""	St. James's Chronicle or the British Evening Post	Amer seizures	Freight dear			"""News."" St. James's Chronicle or the British Evening Post, August 1, 1778 - August 4, 1778"	"""News."" St. James's Chronicle or the British Evening Post, August 1, 1778 - August 4, 1778. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001284639/BBCN?u=camb55135&sid=BBCN&xid=02a1fedf. Accessed 16 Feb. 2021."	
7 Aug 1778	Bur sn	"""News."""	General Advertiser and Morning Intelligencer	Baymen seize Amer ?			8	"""News."" General Advertiser and Morning Intelligencer, 7 Aug. 1778"	"""News."" General Advertiser and Morning Intelligencer, 7 Aug. 1778. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000427039/BBCN?u=camb55135&sid=BBCN&xid=4c20ee88. Accessed 16 Feb. 2021."	
10 Feb 1779	Bur sn	"""News."""	Lloyd's Evening Post	Amer seizures				"""News."" Lloyd's Evening Post, February 8, 1779 - February 10, 1779"	"""News."" Lloyd's Evening Post, February 8, 1779 - February 10, 1779. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000526727/BBCN?u=camb55135&sid=BBCN&xid=3b2213bd. Accessed 16 Feb. 2021."	
6 Mar 1779	Bur sn	"""News."""	General Evening Post	Baymen seize Amer	Prov scarce ?			"""News."" General Evening Post, March 4, 1779 - March 6, 1779"	"""News."" General Evening Post, March 4, 1779 - March 6, 1779. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000457835/BBCN?u=camb55135&sid=BBCN&xid=40fa9040. Accessed 16 Feb. 2021."	
15 Jan 1780	Bur sn	"""News."""	London Chronicle	French seizure				"""News."" London Chronicle, January 13, 1780 - January 15, 1780"	"""News."" London Chronicle, January 13, 1780 - January 15, 1780. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000571634/BBCN?u=camb55135&sid=BBCN&xid=d423c014. Accessed 16 Feb. 2021."	
14 Mar 1780	Bur sn	"""News."""	St. James's Chronicle or the British Evening Post	Distemper ?	Baymen engage Sp			"""News."" St. James's Chronicle or the British Evening Post, March 11, 1780 - March 14, 1780"	"""News."" St. James's Chronicle or the British Evening Post, March 11, 1780 - March 14, 1780. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001290612/BBCN?u=camb55135&sid=BBCN&xid=c6fe7a1a. Accessed 16 Feb. 2021."	
21 Mar 1780	Bur sn	"""News."""	St. James's Chronicle or the British Evening Post	Distemper ?	Baymen engage Sp			"""News."" St. James's Chronicle or the British Evening Post, March 18, 1780 - March 21, 1780"	"""News."" St. James's Chronicle or the British Evening Post, March 18, 1780 - March 21, 1780. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001290743/BBCN?u=camb55135&sid=BBCN&xid=13421050. Accessed 16 Feb. 2021."	
7 Mar 1781	Bur sn	"""News."""	Lloyd's Evening Post	Sp assault				"""News."" Lloyd's Evening Post, March 5, 1781 - March 7, 1781"	"""News."" Lloyd's Evening Post, March 5, 1781 - March 7, 1781. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000529151/BBCN?u=camb55135&sid=BBCN&xid=53f96c74. Accessed 16 Feb. 2021."	
17 Dec 1781	Pre 1574	"Kingston, (Jamaica) Sept. 1."	"New-York Gazette, and Weekly Mercury (1574)"	Baymen charge Sp			"Kingston, (Jamaica) Sept. 1. (1781, December 17"	"Kingston, (Jamaica) Sept. 1. (1781, December 17). New-York Gazette, and Weekly Mercury (1574)"	"Kingston, (Jamaica) Sept. 1. (1781, December 17). New-York Gazette, and Weekly Mercury (1574), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF7EA095F42DA0%402371908-10DF7EA0EC984E38%402-10DF7EA1EC1848C8%40Kingston%252C%2B%2528Jamaica%2529%2BSept.%2B1."	
27 Jul 1782	Bur sn	"""News."""	English Chronicle	Sp assault				"""News."" English Chronicle, July 25, 1782 - July 27, 1782"	"""News."" English Chronicle, July 25, 1782 - July 27, 1782. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001362770/BBCN?u=camb55135&sid=BBCN&xid=0da102e0. Accessed 16 Feb. 2021."	
21 Oct 1782	Pre 21	"Boston, October 10."	"New-York Gazetteer, or, Northern Intelligencer, I (21)"	Sp assault			"Boston, October 10. (1782, October 21"	"Boston, October 10. (1782, October 21). New-York Gazetteer, or, Northern Intelligencer, I (21)"	"Boston, October 10. (1782, October 21). New-York Gazetteer, or, Northern Intelligencer, I (21), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BE3036997A60%40EANX-10C78A4DC838FB00%402372216-10C78A4E06975120%401-10C78A4EC50A34F8%40Boston%252C%2BOctober%2B10."	
26 Dec 1783	Bur sn	"""News."""	Morning Herald	Sp siege			12	"""News."" Morning Herald, 26 Dec. 1783"	"""News."" Morning Herald, 26 Dec. 1783. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000915632/BBCN?u=camb55135&sid=BBCN&xid=1704d18a. Accessed 16 Feb. 2021."	
3 Sep 1784	Pre 241	"Tuesday Arrived Here the Brig Port Roseway, Capt Shannon, in Thirty Five Days from Jamaica."	"New-York Morning Post, V (241)"	 			"Tuesday Arrived Here the Brig Port Roseway, Capt Shannon, in Thirty Five Days from Jamaica. (1784, September 3"	"Tuesday Arrived Here the Brig Port Roseway, Capt Shannon, in Thirty Five Days from Jamaica. (1784, September 3). New-York Morning Post, V (241)"	"Tuesday Arrived Here the Brig Port Roseway, Capt Shannon, in Thirty Five Days from Jamaica. (1784, September 3). New-York Morning Post, V (241), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A11B0248DCBD42C7A%40EANX-11B3CE390BB0D028%402372899-11B3CE39141D23B0%401-11B3CE39246780F8%40Tuesday%2BArrived%2BHere%2Bthe%2BBrig%2BPort%2BRoseway%252C%2BCapt%2BShannon%252C%2Bin%2BThirty%2BFive%2BDays%2Bfrom%2BJamaica."	
18 Oct 1784	Pre 429	"Extract of a Letter from Kingston, Jamaica, Dated August 7."	New-York Packet (429)	Baymen resettle	All well		"Extract of a Letter from Kingston, Jamaica, Dated August 7. (1784, October 18"	"Extract of a Letter from Kingston, Jamaica, Dated August 7. (1784, October 18). New-York Packet (429)"	"Extract of a Letter from Kingston, Jamaica, Dated August 7. (1784, October 18). New-York Packet (429), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D377C85DC14B58%402372944-10D377C89F042B98%401-10D377C9CA9D7BC8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BKingston%252C%2BJamaica%252C%2BDated%2BAugust%2B7."	
22 Nov 1784	Pre 439	"Kingston, (Jamaica) Sept. 24."	Loudon's New-York Packet (439)	 			"Kingston, (Jamaica) Sept. 24. (1784, November 22"	"Kingston, (Jamaica) Sept. 24. (1784, November 22). Loudon's New-York Packet (439)"	"Kingston, (Jamaica) Sept. 24. (1784, November 22). Loudon's New-York Packet (439), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D3781E3A0CEE70%402372979-10D3781F0376D740%403-10D37822168DA6B0%40Kingston%252C%2B%2528Jamaica%2529%2BSept.%2B24."	
22 Nov 1784	Pre 439	"Kingston, (Jamaica) Sept. 24."	Loudon's New-York Packet (439)	 			"Kingston, (Jamaica) Sept. 24. (1784, November 22"	"Kingston, (Jamaica) Sept. 24. (1784, November 22). Loudon's New-York Packet (439)"	"Kingston, (Jamaica) Sept. 24. (1784, November 22). Loudon's New-York Packet (439), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D3782482941090%402372979-10D37824D989EEF0%401-10D378262BE85370%40Kingston%252C%2B%2528Jamaica%2529%2BSept.%2B24."	
6 Dec 1784	Pre 164	"New-York, Nov. 29."	"American Herald, III (164)"	Baymen kidnap slaves ?			"New-York, Nov. 29. (1784, December 6"	"New-York, Nov. 29. (1784, December 6). American Herald, III (164)"	"New-York, Nov. 29. (1784, December 6). American Herald, III (164), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A109E8E164FBDF7E0%40EANX-10B7A4062D483578%402372993-10B7A40678F6A828%402-10B7A4077433CCD0%40New-York%252C%2BNov.%2B29."	
5 Feb 1785	Bur 4412	"Kingston, Nov 25."	London Chronicle (4412)	Flood	Distemper				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000582847/GDCS?u=camb55135&sid=GDCS&xid=0ad9fbe6	
28 Feb 1785	Bur sn	"""News."""	Morning Herald	Amer immigrants			2	"""News."" Morning Herald, 28 Feb. 1785"	"""News."" Morning Herald, 28 Feb. 1785. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000919301/BBCN?u=camb55135&sid=BBCN&xid=c339a89e. Accessed 16 Feb. 2021."	
21 Mar 1785	Pre 473	Extract of a Letter from Kingston (Jamaica) Dated Dec. 4.	Loudon's New-York Packet (473)	 			"Extract of a Letter from Kingston (Jamaica) Dated Dec. 4. (1785, March 21"	"Extract of a Letter from Kingston (Jamaica) Dated Dec. 4. (1785, March 21). Loudon's New-York Packet (473)"	"Extract of a Letter from Kingston (Jamaica) Dated Dec. 4. (1785, March 21). Loudon's New-York Packet (473), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D37BFA441EB000%402373098-10D37BFB2EFD4048%404-10D37BFE0DE288F0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BKingston%2B%2528Jamaica%2529%2BDated%2BDec.%2B4."	
24 Mar 1785	Pre 2003	"Extract of a Letter from Kingston, (Jamaica) Dec. 4."	New-York Journal and Patriotic Register (2003)	 			"Extract of a Letter from Kingston, (Jamaica) Dec. 4. (1785, March 24"	"Extract of a Letter from Kingston, (Jamaica) Dec. 4. (1785, March 24). New-York Journal and Patriotic Register (2003)"	"Extract of a Letter from Kingston, (Jamaica) Dec. 4. (1785, March 24). New-York Journal and Patriotic Register (2003), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE0D2462CD750%40EANX-10DABD01251583D8%402373101-10DABD0174C1DC00%401-10DABD0300009470%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BKingston%252C%2B%2528Jamaica%2529%2BDec.%2B4."	
24 Mar 1785	Pre 2003	"Extract of a Letter from Kingston, (Jamaica) Dec. 1."	New-York Journal and Patriotic Register (2003)	 			"Extract of a Letter from Kingston, (Jamaica) Dec. 1. (1785, March 24"	"Extract of a Letter from Kingston, (Jamaica) Dec. 1. (1785, March 24). New-York Journal and Patriotic Register (2003)"	"Extract of a Letter from Kingston, (Jamaica) Dec. 1. (1785, March 24). New-York Journal and Patriotic Register (2003), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE0D2462CD750%40EANX-10DABCFE15DC0608%402373101-10DABCFE659742B0%401-10DABCFFEE0697C0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BKingston%252C%2B%2528Jamaica%2529%2BDec.%2B1."	
18 Apr 1785	Pre sn	"""Sinking Fund."""	Times	Sp assault Rat	Sp fortify		4	"""Sinking Fund."" Times, 18 Apr. 1785"	"""Sinking Fund."" Times, 18 Apr. 1785, p. 2. The Times Digital Archive, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/CS33816722/TTDA?u=camb55135&sid=TTDA&xid=4aa5a793. Accessed 17 Feb. 2021."	
25 Apr 1785	Pre sn	"""Court Circular."""	Times	Baymen fortify			4	"""Court Circular."" Times, 25 Apr. 1785"	"""Court Circular."" Times, 25 Apr. 1785, p. 2. The Times Digital Archive, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/CS33685657/TTDA?u=camb55135&sid=TTDA&xid=ec7c9485. Accessed 17 Feb. 2021."	
7 May 1785	Bur sn	"""News."""	General Evening Post	Sp siege				"""News."" General Evening Post, May 5, 1785 - May 7, 1785"	"""News."" General Evening Post, May 5, 1785 - May 7, 1785. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000464789/BBCN?u=camb55135&sid=BBCN&xid=fc540506. Accessed 16 Feb. 2021."	
5 Sep 1785	Bur sn	"""News."""	General Evening Post	Baymen panic				"""News."" General Evening Post, September 3, 1785 - September 5, 1785"	"""News."" General Evening Post, September 3, 1785 - September 5, 1785. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000465341/BBCN?u=camb55135&sid=BBCN&xid=f66d67cb. Accessed 16 Feb. 2021."	
6 Sep 1785	Pre sn	"""Universal Register."""	Times	Baymen panic ?			9	"""Universal Register."" Times, 6 Sept. 1785"	"""Universal Register."" Times, 6 Sept. 1785, p. 4. The Times Digital Archive, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/CS67240230/TTDA?u=camb55135&sid=TTDA&xid=1b65f1ba. Accessed 17 Feb. 2021."	
19 Sep 1785	Bur sn	"""News."""	Morning Chronicle [1770]	Baymen resettle			9	"""News."" Morning Chronicle [1770], 19 Sept. 1785"	"""News."" Morning Chronicle [1770], 19 Sept. 1785. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000874101/BBCN?u=camb55135&sid=BBCN&xid=628b6f21. Accessed 16 Feb. 2021."	
9 Jan 1786	Pre 557	"Kingston, (Jamaica) Oct. 1."	Loudon's New-York Packet (557)	 			"Kingston, (Jamaica) Oct. 1. (1786, January 9"	"Kingston, (Jamaica) Oct. 1. (1786, January 9). Loudon's New-York Packet (557)"	"Kingston, (Jamaica) Oct. 1. (1786, January 9). Loudon's New-York Packet (557), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D37A55E24BF010%402373392-10D37A5615FFF540%401-10D37A5721B7BAA8%40Kingston%252C%2B%2528Jamaica%2529%2BOct.%2B1."	
12 Jan 1786	Pre 2045	"American Occurrences. Kingston, (Jamaica) November 16."	New-York Journal and Patriotic Register (2045)	Sp assault Mos			"American Occurrences. Kingston, (Jamaica) November 16. (1786, January 12"	"American Occurrences. Kingston, (Jamaica) November 16. (1786, January 12). New-York Journal and Patriotic Register (2045)"	"American Occurrences. Kingston, (Jamaica) November 16. (1786, January 12). New-York Journal and Patriotic Register (2045), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE0D2462CD750%40EANX-10DABA7014194B50%402373395-10DABA70913CEB08%402-10DABA71AAAACA60%40American%2BOccurrences.%2BKingston%252C%2B%2528Jamaica%2529%2BNovember%2B16."	
9 Mar 1786	Pre 574	"Kingston, Jamaica, Jan. 14."	Loudon's New-York Packet (574)	Storm	Crime crisis		"Kingston, Jamaica, Jan. 14. (1786, March 9"	"Kingston, Jamaica, Jan. 14. (1786, March 9). Loudon's New-York Packet (574)"	"Kingston, Jamaica, Jan. 14. (1786, March 9). Loudon's New-York Packet (574), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D37A977A9227E8%402373451-10D37A97B0F80A90%401-10D37A990585E8F0%40Kingston%252C%2BJamaica%252C%2BJan.%2B14."	
21 Mar 1786	Bur sn	"""News."""	Whitehall Evening Post [1770]	Storm				"""News."" Whitehall Evening Post [1770], March 18, 1786 - March 21, 1786"	"""News."" Whitehall Evening Post [1770], March 18, 1786 - March 21, 1786. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001621715/BBCN?u=camb55135&sid=BBCN&xid=6d337055. Accessed 16 Feb. 2021."	
21 Mar 1786	Pre sn	"""From the Jamaica Gazette."""	Times	Storm			3	"""From the Jamaica Gazette."" Times, 21 Mar. 1786"	"""From the Jamaica Gazette."" Times, 21 Mar. 1786, p. 3. The Times Digital Archive, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/CS50594421/TTDA?u=camb55135&sid=TTDA&xid=aff3b99e. Accessed 17 Feb. 2021."	
9 Aug 1786	Pre 281	"Kingston, (Jamaica) July 8."	Independent Journal (281)	 			"Kingston, (Jamaica) July 8. (1786, August 9"	"Kingston, (Jamaica) July 8. (1786, August 9). Independent Journal (281)"	"Kingston, (Jamaica) July 8. (1786, August 9). Independent Journal (281), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1092168814A83928%40EANX-10922D4073A7CCF8%402373604-10922D40AB6709C8%401-10922D41C0A72510%40Kingston%252C%2B%2528Jamaica%2529%2BJuly%2B8."	
10 Aug 1786	Pre 2075	"American Occurrences. Kingston, (Jamaica) July 8."	New-York Journal and Patriotic Register (2075)	 			"American Occurrences. Kingston, (Jamaica) July 8. (1786, August 10"	"American Occurrences. Kingston, (Jamaica) July 8. (1786, August 10). New-York Journal and Patriotic Register (2075)"	"American Occurrences. Kingston, (Jamaica) July 8. (1786, August 10). New-York Journal and Patriotic Register (2075), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE0D2462CD750%40EANX-10DABADA95C808D8%402373605-10DABADB20D2FC10%402-10DABADC4AB0FBF8%40American%2BOccurrences.%2BKingston%252C%2B%2528Jamaica%2529%2BJuly%2B8."	
27 Sep 1786	Pre 295	Extract of a Letter from the Bay of Honduras.	Independent Journal (295)	Mos to settle in Bay			"Extract of a Letter from the Bay of Honduras. (1786, September 27"	"Extract of a Letter from the Bay of Honduras. (1786, September 27). Independent Journal (295)"	"Extract of a Letter from the Bay of Honduras. (1786, September 27). Independent Journal (295), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1092168814A83928%40EANX-10922ED290F27488%402373653-10922ED2CF7C0CE0%401-10922ED429A3F920%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2Bthe%2BBay%2Bof%2BHonduras."	
21 Nov 1786	Pre 647	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4."	Loudon's New-York Packet (647)	 			"Extract of a Letter from St. George's Key, Bay of Honduras, June 4. (1786, November 21"	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4. (1786, November 21). Loudon's New-York Packet (647)"	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4. (1786, November 21). Loudon's New-York Packet (647), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D37BC64B42B4A8%402373708-10D37BC6B56D0C38%402-10D37BC81480CF50%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BSt.%2BGeorge%2527s%2BKey%252C%2BBay%2Bof%2BHonduras%252C%2BJune%2B4."	
22 Nov 1786	Pre 311	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4."	Independent Journal (311)	 			"Extract of a Letter from St. George's Key, Bay of Honduras, June 4. (1786, November 22"	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4. (1786, November 22). Independent Journal (311)"	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4. (1786, November 22). Independent Journal (311), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1092168814A83928%40EANX-10922F06FB776768%402373709-10922F072F78DCD0%401-10922F084B2A9CB0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BSt.%2BGeorge%2527s%2BKey%252C%2BBay%2Bof%2BHonduras%252C%2BJune%2B4."	
30 Nov 1786	Pre 2091	"Extract of a Letter from Jamaica, Dated October 16."	New-York Journal and Patriotic Register (2091)	Mos to settle in Bay			"Extract of a Letter from Jamaica, Dated October 16. (1786, November 30"	"Extract of a Letter from Jamaica, Dated October 16. (1786, November 30). New-York Journal and Patriotic Register (2091)"	"Extract of a Letter from Jamaica, Dated October 16. (1786, November 30). New-York Journal and Patriotic Register (2091), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE0D2462CD750%40EANX-10DABB18CCC224D0%402373717-10DABB192E765150%401-10DABB1AE300F7D0%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BJamaica%252C%2BDated%2BOctober%2B16."	
5 Dec 1786	Pre 651	"Extract of a Letter from Jamaica, Dated Oct. 16."	Loudon's New-York Packet (651)	 			"Extract of a Letter from Jamaica, Dated Oct. 16. (1786, December 5"	"Extract of a Letter from Jamaica, Dated Oct. 16. (1786, December 5). Loudon's New-York Packet (651)"	"Extract of a Letter from Jamaica, Dated Oct. 16. (1786, December 5). Loudon's New-York Packet (651), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD9120DBB670%40EANX-10D37BD35EC1CB68%402373722-10D37BD3A50A73D0%401-10D37BD55A2B91D8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BJamaica%252C%2BDated%2BOct.%2B16."	
2 Jan 1787	Pre 292	"New-York, December 14."	"Massachusetts Gazette, VI (292)"	Slave revolt			"New-York, December 14. (1787, January 2"	"New-York, December 14. (1787, January 2). Massachusetts Gazette, VI (292)"	"New-York, December 14. (1787, January 2). Massachusetts Gazette, VI (292), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1080E81BCACD03C0%40EANX-1085585B46BF1CA0%402373750-1085585B57E29408%400-1085585C05105360%40New-York%252C%2BDecember%2B14."	
6 Jan 1787	Pre 324	"Boston, December 28."	Independent Journal (324)	 			"Boston, December 28. (1787, January 6"	"Boston, December 28. (1787, January 6). Independent Journal (324)"	"Boston, December 28. (1787, January 6). Independent Journal (324), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1092168814A83928%40EANX-10922F286010C168%402373754-10922F2897E21AF0%401-10922F29A1054AF8%40Boston%252C%2BDecember%2B28."	
19 Jun 1787	Pre 340	"Charleston, (South Carolina) May 29."	"Massachusetts Gazette, VI (340)"	Mos to settle in Bay			"Charleston, (South Carolina) May 29. (1787, June 19"	"Charleston, (South Carolina) May 29. (1787, June 19). Massachusetts Gazette, VI (340)"	"Charleston, (South Carolina) May 29. (1787, June 19). Massachusetts Gazette, VI (340), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1080E81BCACD03C0%40EANX-10855706DB6B3DC8%402373918-108557070B9B5810%401-10855707B5A07848%40Charleston%252C%2B%2528South%2BCarolina%2529%2BMay%2B29."	
3 Jul 1787	Pre 1028	"Montego Bay, (Jamaica) May 26."	New-York Morning Post (1028)	Mos settle in Bay			"Montego Bay, (Jamaica) May 26. (1787, July 3"	"Montego Bay, (Jamaica) May 26. (1787, July 3). New-York Morning Post (1028)"	"Montego Bay, (Jamaica) May 26. (1787, July 3). New-York Morning Post (1028), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A11B0248DCBD42C7A%40EANX-11B3CE492821F0E8%402373932-11B3CE4932201B88%401-11B3CE494B1E11C0%40Montego%2BBay%252C%2B%2528Jamaica%2529%2BMay%2B26."	
