Series T 1—781 / Foreign markets.
ID	NO	START 1	US GDP	CF 13	UK GDO	CF 14	END	
T 315	315	1787	xnp	xnp	xnp	xnp	###	
T 317	317	1788	xnp	xnp	xnp	xnp	###	
T 319	319	1789	xnp	xnp	xnp	xnp	###	
T 321	321	1790	xnp	xnp	xnp	xnp	###	
T 323	323	1791	xnp	xnp	xnp	xnp	###	
T 325	325	1792	xnp	xnp	xnp	xnp	###	
T 327	327	1793	xnp	xnp	xnp	xnp	###	
T 329	329	1794	xnp	xnp	xnp	xnp	###	
T 331	331	1795	xnp	xnp	xnp	xnp	###	
T 333	333	1796	xnp	xnp	xnp	xnp	###	
T 335	335	1797	xnp	xnp	xnp	xnp	###	
T 337	337	1798	xnp	xnp	xnp	xnp	###	
T 339	339	1799	xnp	xnp	xnp	xnp	###	
T 341	341	1800	xnp	xnp	xnp	xnp	###	
T 343	343	1801	xnp	xnp	xnp	xnp	###	
T 345	345	1802	xnp	xnp	xnp	xnp	###	
T 347	347	1803	xnp	xnp	xnp	xnp	###	
T 349	349	1804	xnp	xnp	xnp	xnp	###	
T 351	351	1805	xnp	xnp	xnp	xnp	###	
T 353	353	1806	xnp	xnp	xnp	xnp	###	
T 355	355	1807	xnp	xnp	xnp	xnp	###	
T 357	357	1808	xnp	xnp	xnp	xnp	###	
T 359	359	1809	xnp	xnp	xnp	xnp	###	
T 361	361	1810	xnp	xnp	xnp	xnp	###	
T 363	363	1811	xnp	xnp	xnp	xnp	###	
T 365	365	1812	xnp	xnp	xnp	xnp	###	
T 367	367	1813	xnp	xnp	xnp	xnp	###	
T 369	369	1814	xnp	xnp	xnp	xnp	###	
T 371	371	1815	xnp	xnp	xnp	xnp	###	
T 373	373	1816	xnp	xnp	xnp	xnp	###	
T 375	375	1817	xnp	xnp	xnp	xnp	###	
T 377	377	1818	xnp	xnp	xnp	xnp	###	
T 379	379	1819	xnp	xnp	xnp	xnp	###	
T 381	381	1820	xnp	xnp	xnp	xnp	###	
T 383	383	1821	xnp	xnp	xnp	xnp	###	
T 385	385	1822	xnp	xnp	xnp	xnp	###	
T 387	387	1823	xnp	xnp	xnp	xnp	###	
T 389	389	1824	xnp	xnp	xnp	xnp	###	
T 391	391	1825	xnp	xnp	xnp	xnp	###	
T 393	393	1826	xnp	xnp	xnp	xnp	###	
T 395	395	1827	xnp	xnp	xnp	xnp	###	
T 397	397	1828	xnp	xnp	xnp	xnp	###	
T 399	399	1829	xnp	xnp	xnp	xnp	###	
T 401	401	1830	xnp	xnp	xnp	xnp	###	
T 403	403	1831	xnp	xnp	xnp	xnp	###	
T 405	405	1832	xnp	xnp	xnp	xnp	###	
T 407	407	1833	xnp	xnp	xnp	xnp	###	
T 409	409	1834	xnp	xnp	xnp	xnp	###	
T 411	411	1835	xnp	xnp	xnp	xnp	###	
T 413	413	1836	xnp	xnp	xnp	xnp	###	
T 415	415	1837	xnp	xnp	xnp	xnp	###	
T 417	417	1838	xnp	xnp	xnp	xnp	###	
T 419	419	1839	xnp	xnp	xnp	xnp	###	
T 421	421	1840	xnp	xnp	xnp	xnp	###	
T 423	423	1841	xnp	xnp	xnp	xnp	###	
T 425	425	1842	xnp	xnp	xnp	xnp	###	
T 427	427	1843	xnp	xnp	xnp	xnp	###	
T 429	429	1844	xnp	xnp	xnp	xnp	###	
T 431	431	1845	xnp	xnp	xnp	xnp	###	
T 433	433	1846	xnp	xnp	xnp	xnp	###	
T 435	435	1847	xnp	xnp	xnp	xnp	###	
T 437	437	1848	xnp	xnp	xnp	xnp	###	
T 439	439	1849	xnp	xnp	xnp	xnp	###	
T 441	441	1850	xnp	xnp	xnp	xnp	###	
T 443	443	1851	xnp	xnp	xnp	xnp	###	
T 445	445	1852	xnp	xnp	xnp	xnp	###	
T 447	447	1853	xnp	xnp	xnp	xnp	###	
T 449	449	1854	xnp	xnp	xnp	xnp	###	
T 451	451	1855	xnp	xnp	xnp	xnp	###	
T 453	453	1856	xnp	xnp	xnp	xnp	###	
T 455	455	1857	xnp	xnp	xnp	xnp	###	
T 457	457	1858	xnp	xnp	xnp	xnp	###	
T 459	459	1859	xnp	xnp	xnp	xnp	###	
T 461	461	1860	xnp	xnp	xnp	xnp	###	
T 463	463	1861	xnp	xnp	xnp	xnp	###	
T 465	465	1862	xnp	xnp	xnp	xnp	###	
T 467	467	1863	xnp	xnp	xnp	xnp	###	
T 469	469	1864	xnp	xnp	xnp	xnp	###	
T 471	471	1865	xnp	xnp	xnp	xnp	###	
T 473	473	1866	xnp	xnp	xnp	xnp	###	
T 475	475	1867	xnp	xnp	xnp	xnp	###	
T 477	477	1868	xnp	xnp	xnp	xnp	###	
T 479	479	1869	xnp	xnp	xnp	xnp	###	
T 481	481	1870	xnp	xnp	xnp	xnp	###	
T 483	483	1871	xnp	xnp	xnp	xnp	###	
T 485	485	1872	xnp	xnp	xnp	xnp	###	
T 487	487	1873	xnp	xnp	xnp	xnp	###	
T 489	489	1874	xnp	xnp	xnp	xnp	###	
T 491	491	1875	xnp	xnp	xnp	xnp	###	
T 493	493	1876	xnp	xnp	xnp	xnp	###	
T 495	495	1877	xnp	xnp	xnp	xnp	###	
T 497	497	1878	xnp	xnp	xnp	xnp	###	
T 499	499	1879	xnp	xnp	xnp	xnp	###	
T 501	501	1880	xnp	xnp	xnp	xnp	###	
T 503	503	1881	xnp	xnp	xnp	xnp	###	
T 505	505	1882	xnp	xnp	xnp	xnp	###	
T 507	507	1883	xnp	xnp	xnp	xnp	###	
T 509	509	1884	xnp	xnp	xnp	xnp	###	
T 511	511	1885	xnp	xnp	xnp	xnp	###	
T 513	513	1886	xnp	xnp	xnp	xnp	###	
T 515	515	1887	xnp	xnp	xnp	xnp	###	
T 517	517	1888	xnp	xnp	xnp	xnp	###	
T 519	519	1889	xnp	xnp	xnp	xnp	###	
T 521	521	1890	xnp	xnp	xnp	xnp	###	
T 523	523	1891	xnp	xnp	xnp	xnp	###	
T 525	525	1892	xnp	xnp	xnp	xnp	###	
T 527	527	1893	xnp	xnp	xnp	xnp	###	
T 529	529	1894	xnp	xnp	xnp	xnp	###	
T 531	531	1895	xnp	xnp	xnp	xnp	###	
T 533	533	1896	xnp	xnp	xnp	xnp	###	
T 535	535	1897	xnp	xnp	xnp	xnp	###	
T 537	537	1898	xnp	xnp	xnp	xnp	###	
T 539	539	1899	xnp	xnp	xnp	xnp	###	
T 541	541	1900	xnp	xnp	xnp	xnp	###	
T 543	543	1901	xnp	xnp	xnp	xnp	###	
T 545	545	1902	xnp	xnp	xnp	xnp	###	
T 547	547	1903	xnp	xnp	xnp	xnp	###	
T 549	549	1904	xnp	xnp	xnp	xnp	###	
T 551	551	1905	xnp	xnp	xnp	xnp	###	
T 553	553	1906	xnp	xnp	xnp	xnp	###	
T 555	555	1907	xnp	xnp	xnp	xnp	###	
T 557	557	1908	xnp	xnp	xnp	xnp	###	
T 559	559	1909	xnp	xnp	xnp	xnp	###	
T 561	561	1910	xnp	xnp	xnp	xnp	###	
T 563	563	1911	xnp	xnp	xnp	xnp	###	
T 565	565	1912	xnp	xnp	xnp	xnp	###	
T 567	567	1913	xnp	xnp	xnp	xnp	###	
T 569	569	1914	xnp	xnp	xnp	xnp	###	
T 571	571	1915	xnp	xnp	xnp	xnp	###	
T 573	573	1916	xnp	xnp	xnp	xnp	###	
T 575	575	1917	xnp	xnp	xnp	xnp	###	
T 577	577	1918	xnp	xnp	xnp	xnp	###	
T 579	579	1919	xnp	xnp	xnp	xnp	###	
T 581	581	1920	xnp	xnp	xnp	xnp	###	
T 583	583	1921	xnp	xnp	xnp	xnp	###	
T 585	585	1922	xnp	xnp	xnp	xnp	###	
T 587	587	1923	xnp	xnp	xnp	xnp	###	
T 589	589	1924	xnp	xnp	xnp	xnp	###	
T 591	591	1925	xnp	xnp	xnp	xnp	###	
T 593	593	1926	xnp	xnp	xnp	xnp	###	
T 595	595	1927	xnp	xnp	xnp	xnp	###	
T 597	597	1928	xnp	xnp	xnp	xnp	###	
T 599	599	1929	xnp	xnp	xnp	xnp	###	
T 601	601	1930	xnp	xnp	xnp	xnp	###	
T 603	603	1931	xnp	xnp	xnp	xnp	###	
T 605	605	1932	xnp	xnp	xnp	xnp	###	
T 607	607	1933	xnp	xnp	xnp	xnp	###	
T 609	609	1934	xnp	xnp	xnp	xnp	###	
T 611	611	1935	xnp	xnp	xnp	xnp	###	
T 613	613	1936	xnp	xnp	xnp	xnp	###	
T 615	615	1937	xnp	xnp	xnp	xnp	###	
T 617	617	1938	xnp	xnp	xnp	xnp	###	
T 619	619	1939	xnp	xnp	xnp	xnp	###	
T 621	621	1940	xnp	xnp	xnp	xnp	###	
T 623	623	1941	xnp	xnp	xnp	xnp	###	
T 625	625	1942	xnp	xnp	xnp	xnp	###	
T 627	627	1943	xnp	xnp	xnp	xnp	###	
T 629	629	1944	xnp	xnp	xnp	xnp	###	
T 631	631	1945	xnp	xnp	xnp	xnp	###	
T 633	633	1946	xnp	xnp	xnp	xnp	###	
T 635	635	1947	xnp	xnp	xnp	xnp	###	
T 637	637	1948	xnp	xnp	xnp	xnp	###	
T 639	639	1949	xnp	xnp	xnp	xnp	###	
T 641	641	1950	xnp	xnp	xnp	xnp	###	
T 643	643	1951	xnp	xnp	xnp	xnp	###	
T 645	645	1952	xnp	xnp	xnp	xnp	###	
T 647	647	1953	xnp	xnp	xnp	xnp	###	
T 649	649	1954	xnp	xnp	xnp	xnp	###	
T 651	651	1955	xnp	xnp	xnp	xnp	###	
T 653	653	1956	xnp	xnp	xnp	xnp	###	
T 655	655	1957	xnp	xnp	xnp	xnp	###	
T 657	657	1958	xnp	xnp	xnp	xnp	###	
T 659	659	1959	xnp	xnp	xnp	xnp	###	
T 661	661	1960	xnp	xnp	xnp	xnp	###	
T 663	663	1961	xnp	xnp	xnp	xnp	###	
T 665	665	1962	xnp	xnp	xnp	xnp	###	
T 667	667	1963	xnp	xnp	xnp	xnp	###	
T 669	669	1964	xnp	xnp	xnp	xnp	###	
T 671	671	1965	xnp	xnp	xnp	xnp	###	
T 673	673	1966	xnp	xnp	xnp	xnp	###	
T 675	675	1967	xnp	xnp	xnp	xnp	###	
T 677	677	1968	xnp	xnp	xnp	xnp	###	
T 679	679	1969	xnp	xnp	xnp	xnp	###	
T 681	681	1970	xnp	xnp	xnp	xnp	###	
T 683	683	1971	xnp	xnp	xnp	xnp	###	
T 685	685	1972	xnp	xnp	xnp	xnp	###	
T 687	687	1973	xnp	xnp	xnp	xnp	###	
T 689	689	1974	xnp	xnp	xnp	xnp	###	
T 691	691	1975	xnp	xnp	xnp	xnp	###	
T 693	693	1976	xnp	xnp	xnp	xnp	###	
T 695	695	1977	xnp	xnp	xnp	xnp	###	
T 697	697	1978	xnp	xnp	xnp	xnp	###	
T 699	699	1979	xnp	xnp	xnp	xnp	###	
