Errors: A1—14 / False positives or false negatives in archival material.
ID	NO	START	END	SOURCE	TYPE	DESCRIPTION	NOTE	
		MS	Westminster d	1066	1900	xxx	Muniments of Westminster Abbey					Westminster Abbey	London	UK	Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "		
		MS	"AGCA, a"	1544	1821	xxx						Archivo General de Centro América	Guatemala	Guatemala		"Likely using catalogue by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "		
		MS	C 110/152	1681	1812	1	Commercial correspondence and accounts					National Archives	Kew	UK		Particularly Brailsford v Peers records [1681–94]		
		MS	Bib N Esp MSS/d	xxx		xxx						Biblioteca Nacional de España	Madrid	Spain				
		MS	"Real Acad Hist, Col Muñoz, a"	xxx		76	Colección de Juan Bautista Muñoz					Real Academia de la Historia	Madrid	Spain	RAH Catalogue	RAH Catalogue Link: https://www.rah.es/colecciones-de-manuscritos/ 		
		MS	Bib N France MS a	xxx		429	Département des Manuscrits Mexicain					Bibliothèque nationale de France	Paris	France	BnF Catalogue général	BnF Catalogue général Link: https://archivesetmanuscrits.bnf.fr 		
		MS	Bib N France MS a	xxx		77	Département des Manuscrits Amérique					Bibliothèque nationale de France	Paris	France	BnF Catalogue général			
		MS		xxx		xxx						Archives nationales d'outre-mer	Aix-en-Provence	France				
		MS		xxx		xxx						Library of Congress	Washington	USA				
		MS		xxx		xxx						Newberry Library	Chicago	USA				
		MS		xxx		xxx						New York Public Library	New York	USA				
		MS		xxx		xxx						Bancroft Library	Berkeley	USA				
		MS	AGS Estado	1404	1700	5157	Consejo de Estado					Archivo General de Simancas	Valladolid	Spain	PARES			
		MS	AGS Estado	1547	1843	7990	Secretaría de Estado y del Despacho de Guerra					Archivo General de Simancas	Valladolid	Spain	PARES			
		MS	AGS Estado	1265	1833	3149	Secretaría del Despacho de Estado					Archivo General de Simancas	Valladolid	Spain	PARES			
		MS	AGS Mapas y Planos	1503	1959	1355	"Mapas, planos y dibujos"					Archivo General de Simancas	Valladolid	Spain	PARES			
		N		1800	1810		American Citizen	New York	USA						Readex / America’s Historical Newspapers			
		N		1784	1784		American Herald	Boston	USA						Readex / America’s Historical Newspapers			
		N		1719	1746		American Weekly Mercury	Philadelphia	USA						Readex / America’s Historical Newspapers			
		N		1755	1815		Antigua Gazette	St. John’s	Antigua and Barbuda						Readex / America’s Historical Newspapers			
		N		1838	1841		Belize Advertiser	Belize	Belize						Cave 34	Published weekly by Henry Whitney /via Cave 34		
		N		1881	1887		Belize Advertiser	Belize	Belize						Cave 35	Published weekly from the Pinting Office of C. T. Hunter /via Cave 35		
		N		1888	1889		Belize Advertiser	Belize	Belize						Cave 35	Published weekly by George Mitchell /via Cave 35		
		N		1887	1888		Belize Advertiser and British Honduras Gazette	Belize	Belize						Cave 35			
		N		1840	1845		Belize Gazette	Belize	Belize						Cave 34			
		N		1888	1945		Belize Independent	Belize	Belize						Cave 36			
		N		1796	1801		Bell’s Weekly Messenger	London	UK						Gale / Burney Newspapers Collection			
		N		1800	1840		Boston Commercial Gazette	Boston	USA						Readex / America’s Historical Newspapers			
		N		1735	1775		Boston Evening-Post	Boston	USA						Readex / America’s Historical Newspapers			
		N		1719	1798		Boston Gazette	Boston	USA						Readex / America’s Historical Newspapers			
		N		1704	1776		Boston News-Letter	Boston	USA						Readex / America’s Historical Newspapers			
		N		1735	1775		Boston Post-Boy	Boston	USA						Readex / America’s Historical Newspapers			
		N		1867	1868		British Honduras Colonist and Belize Advertiser	Belize	Belize						Cave 34			
		N		1722	1731		British Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1873	1873		Central American Telegraph	Belize	Belize						Cave 35			
		N		1897	1961		Clarion	Belize	Belize						Cave 36			
		N		1882	1913		Colonial Guardian	Belize	Belize						Cave 35			
		N		1864	1866		Colonist	Belize	Belize						Cave 34			
		N		1809	1821		Columbian	New York	USA						Readex / America’s Historical Newspapers			
		N		1790	1840		Columbian Centinel	Boston	USA						Readex / America’s Historical Newspapers			
		N		1867	1867		Commercial Advertiser	Belize	Belize						Cave 35	Possibly printed later than 1867 /Cave 35		
		N		1797	1876		Commercial Advertiser	New York	USA						Readex / America’s Historical Newspapers			
		N		1722	1723		Compleat Set of St. James’s Journals	London	UK						Gale / Burney Newspapers Collection			
		N		1727	1750		Country Journal or the Craftsman	London	UK						Gale / Burney Newspapers Collection			
		N		1792	1800		Courier	London	UK						Gale / Burney Newspapers Collection			
		N		1752	1752		Covent-Garden Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1726	1727		Craftsman [1726]	London	UK						Gale / Burney Newspapers Collection			
		N		1778	1778		Craftsman or London Intelligencer	London	UK						Gale / Burney Newspapers Collection			
		N		1730	1798		Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1785	1809		Daily Advertiser	New York	USA						Readex / America’s Historical Newspapers			
		N		1702	1735		Daily Courant	London	UK						Gale / Burney Newspapers Collection			
		N		1735	1748		Daily Gazetteer	London	UK						Gale / Burney Newspapers Collection			
		N		1721	1737		Daily Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1719	1746		Daily Post	London	UK						Gale / Burney Newspapers Collection			
		N		1867	1867		Daly’s Advertising Sheet	Belize	Belize						Cave 34	Possibly printed earlier or later than 1867		
		N		1792	1797		Diary	New York	USA						Readex / America’s Historical Newspapers			
		N		1789	1793		Diary or Woodfall’s Register	London	UK						Gale / Burney Newspapers Collection			
		N		1780	1800		English Chronicle	London	UK						Gale / Burney Newspapers Collection			
		N		1789	1800		Evening Mail	London	UK						Gale / Burney Newspapers Collection			
		N		1801	1876		Evening Post	New York	USA						Readex / America’s Historical Newspapers			
		N		1709	1732		Evening Post [1709]	London	UK						Gale / Burney Newspapers Collection			
		N		1695	1731		Flying Post	London	UK						Gale / Burney Newspapers Collection			
		N		1728	1737		Fog’s Weekly Journal	London	UK						Gale / Burney Newspapers Collection			
		N		1781	1783		Gazette of St. Jago de la Vega	Spanish Town	Jamaica						Readex / Caribbean Newspapers			
		N		1754	1764		Gazetteer and London Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1764	1796		Gazetteer and New Daily Advertiser	London	UK						Gale / Burney Newspapers Collection			
		N		1744	1752		General Advertiser [1744]	London	UK						Gale / Burney Newspapers Collection			
		N		1784	1789		General Advertiser [1784]	London	UK						Gale / Burney Newspapers Collection			
		N		1777	1782		General Advertiser and Morning Intelligencer	London	UK						Gale / Burney Newspapers Collection			
		N		1733	1822		General Evening Post	London	UK						Gale / Burney Newspapers Collection			
		N		1743	1746		General London Evening Mercury	London	UK						Gale / Burney Newspapers Collection			
		N		1794	1800		Greenleaf's New York Journal	New York	USA						Readex / America’s Historical Newspapers			
		N		1826	1829		Honduras Gazette and Commercial Advertiser	Belize	Belize						Cave 34			
		N		1840	1848		Honduras Observer	Belize	Belize						Cave 34	Possibly printed later than 1848 /Cave 34		
		N		1769	1770		Independent Chronicle	London	UK						Gale / Burney Newspapers Collection			
		N		1776	1817		Independent Chronicle	Boston	USA						Readex / America’s Historical Newspapers			
		N		1783	1788		Independent Journal	New York	USA						Readex / America’s Historical Newspapers			
