"ISSN";"Title";"Geographical sphere";"Comprises"
"2174-9337";"Hipódromo (Madrid)";"Madrid";"Del 28/02/1932 al 10/05/1934. Del n. 83 al n. 157"
"2173-5581";"Hispana esperantisto";"Madrid";"Del 01/1917 al 12/1922. Del n. 1 al n. 61"
"2173-982X";"Hispana esperanto gazeto";"Madrid";"Del 04/1931 al 03/1936. Del n. 1 al n. 57"
"2174-4343";"Hispanidad (Madrid)";"Madrid";"Del 12/10/1935 al 01/03/1936. Del n. 1 al  n. 9"
"2174-6966";"Historia (Madrid. 1935)";"Madrid";"Del 03/1935 al 05/1935. Del n. 1 al n. 3"
"1699-7158";"El Historiador palmesano";"Baleares";"Del 07/09/1848 al 28/07/1849"
"0214-5243";"El Hogar (Madrid)";"Madrid";"Del 03/06/1866 al 03/03/1867. Del n. 1 al n. 26"
"2171-7508";"El Hogar patrio";"Madrid";"Del 12/1928 al 6/1936"
"2172-7066";"El Hogar propio";"Madrid";"Del n. 15 (1/1930) al n. 26 (12/1930)"
"1886-7065";"Hogar y pueblo";"Soria";"Del 5/12/1913 al 31/5/1964"
"1886-5968";"La Hoja hidrológica";"Madrid";"Del 20/03/1920 al 20/04/1922. Del n. 1 al n. 9"
"1131-9259";"Hojas selectas";"Barcelona";"Del 01/1902 al 12/1921. Del n. 25 al n. 240"
"0214-3895";"¡Hola! (Barcelona)";"Barcelona";"Del 02/09/1944 al 30/12/2009"
"2605-2423";"¡Hola! (Barcelona). Figurín de la moda";"Barcelona";"Del 21/9/1968 al 24/09/1983"
"2171-0112";"Los Hombres libres";"Madrid";"Del 17/11/1923 al 15/12/1923"
"1131-4508";"La Homeopatía (Madrid. 1846)";"Madrid";"Del 10/04/1846 al 10/03/1847"
"1889-9935";"La Hora (Madrid. 1921)";"Madrid";"Del 02/10/1921 al 04/12/1921"
"0437-8679";"La Hora (Madrid. 1945)";"Madrid";"Del 9/1/1946 al 1/1960"
"2171-7443";"La Hora (Valencia)";"Valencia";"Del 16/7/1937 al 30/7/1938"
"0212-9795";"Hora de España (Valencia)";"Valencia";"Del 01/1937 al 10/1938"
"2444-0582";"La Hora leonesa";"León";"Del 15/8/1975 al 16/5/1984"
"1889-9943";"Horizonte (Madrid. 1922)";"Madrid";"Del 30/11/1922 al 15/12/1922. Del n. 2 al n. 3"
"2171-7591";"La Hormiga de oro";"Barcelona";"Del 01/01/1884 al 16/07/1936"
"2174-9582";"Hormigón y acero (Madrid. 1934)";"Madrid";"Del 05/1934 al 06/1936. Del n. 1 al n. 26"
"2386-2203";"Hoy (Badajoz. Ed. Cáceres)";"Badajoz";"De 1999 a 2008. 2014-"
"2386-2211";"Hoy (Badajoz. Ed. Mérida)";"Badajoz";"De 1999 a 2007. 2014-"
"2386-2246";"Hoy (Badajoz. Ed. Plasencia)";"Cáceres";"2014-"
"2386-219X";"Hoy (Badajoz)";"Badajoz";"De 1999 a 2009. 2014-"
"2444-4464";"Hoy Arroyo de la Luz";"Badajoz";"2015-"
"2444-4472";"Hoy Calamonte";"Badajoz";"2015-2019"
"2444-4480";"Hoy Campanario";"Badajoz";"2015-"
"2444-4499";"Hoy Casar de Cáceres";"Badajoz";"2015-"
"2444-4510";"Hoy Castuera";"Badajoz";"2015-"
"2444-4502";"Hoy Coria";"Badajoz";"2015-"
"2444-491X";"Hoy Fregenal";"Badajoz";"2015-"
"2444-4529";"Hoy Fuente de Cantos";"Badajoz";"2015-2017"
"2444-4537";"Hoy Guareña";"Badajoz";"2015-"
"2444-4731";"Hoy Herrera del Duque";"Badajoz";"2015-2017"
"2444-4545";"Hoy Jaraíz de la Vera";"Badajoz";"2015-"
"2444-4553";"Hoy Jerez de los Caballeros";"Badajoz";"2015-2019"
"2444-5363";"Hoy Llerena";"Badajoz";"2015-"
"2444-4561";"Hoy Logrosán";"Badajoz";"2015-2016"
"2444-457X";"Hoy Malpartida de Cáceres";"Badajoz";"2015-"
"2444-4588";"Hoy Miajadas";"Badajoz";"2015-"
"2444-4596";"Hoy Monesterio";"Badajoz";"2015-"
"2444-460X";"Hoy Navalmoral de la Mata";"Badajoz";"2015-"
"2444-4618";"Hoy Olivenza";"Badajoz";"2015-"
"2444-4626";"Hoy Puebla de la Calzada";"Badajoz";"2015-2017"
"2444-4634";"Hoy Quintana";"Badajoz";"2015-"
"2444-4642";"Hoy Los Santos de Maimona";"Badajoz";"2015-"
"2444-4723";"Hoy Talarrubias";"Badajoz";"2017-"
"2444-4650";"Hoy Talayuela";"Badajoz";"2015-"
"2444-4669";"Hoy Trujillo";"Badajoz";"2015-"
"2444-4677";"Hoy Valverde de Leganés";"Badajoz";"2015-"
"2444-4685";"Hoy Villafranca de los Barros";"Badajoz";"2015-2017"
"2444-4693";"Hoy Villanueva del Fresno";"Badajoz";"2015-"
"2530-1365";"Hoy Zafra";"Badajoz";"2016-"
"2444-4707";"Hoy Zalamea";"Badajoz";"2015-"
"2444-4715";"Hoy La Zarza";"Badajoz";"2015-"
"2171-844X";"Huelva información";"Huelva";"De 1999 a 2009. 2015-"
"1130-7536";"La Iberia (Madrid. 1854)";"Madrid";"Del 15/06/1854 al 21/06/1866"
"1130-7552";"La Iberia (Madrid. 1868)";"Madrid";"Del 30/09/1868 al 14/05/1898"
"2172-5179";"La Iberia artística";"Madrid";"Del n. 22 (2/12/1866) al n. 23 (9/12/1866)"
"2171-0120";"La Iberia musical";"Madrid";"Del 02/01/1842 al 28/08/1842. Del n. 1 al n. 35"
"2171-0139";"La Iberia musical y literaria";"Madrid";"Del 04/09/1842 al 25/12/1842. Del n. 1 al n. 17"
"2171-8067";"Ícaro (Madrid)";"Madrid";"Del 01/1930 al 12/1932. Del n. 25 al n. 60"
"2660-2474";"La Idea (Jerez de la Frontera)";"Cádiz";"30/8/1911"
"2444-6564";"La Idea (Madrid. 1905)";"Madrid";"Del 19/6/1910 al 16/12/1912"
"2660-2075";"El Ideal (Alcalá de Henares)";"Madrid";"21/2/1907"
"1132-0133";"Ideal (Ed. Almería)";"Almería";"Del 27/10/1971 al 31/12/2000"
"1579-7627";"Ideal (Ed. Costa de Granada)";"Granada";"Del 1/12/1995 al 31/1/2001"
"1132-0117";"Ideal (Ed. Granada)";"Granada";"Del 2/1/1999 al 31/12/2001"
"1132-0125";"Ideal (Ed. Jaén)";"Jaén";"Del 23/4/1939 al 30/9/2001"
"2660-1281";"El Ideal (Palma de Mallorca)";"Baleares";"18/11/1911"
"2173-4224";"El Ideal del magisterio";"Madrid";"Del n. 299 (1/1932) al n. 455 (6/1936)"
"1576-6322";"El Ideal gallego (Ed. La Coruña)";"La Coruña";"De 1999 a 2007"
"2660-2334";"La Idea moderna";"Lugo";"31/10/1910"
"2444-6874";"Idearium (Granada. 1900)";"Granada";"Del n. 1 (15/6/1900) al n. 4 (31/7/1900)"
"2341-4340";"La Iglesia (Madrid)";"Madrid";"Del 10/1/1869 al 14/3/1869"
"2660-096X";"Igualada radical";"Barcelona";"17/9/1911"
"2172-3672";"La Igualdad (Madrid. 1868)";"Madrid";"Del 11/11/1868 al 3/11/1880"
"2444-7137";"Igualdad (Valladolid)";"Valladolid";"Del n. 1 (14/11/1932) al n. 52 (13/11/1933)"
"1889-9951";"La Ilustració catalana";"Barcelona";"Del 10/07/1880 al 30/12/1917. Del n. 1 al n. 759"
"1885-5326";"La Ilustración (Barcelona)";"Barcelona";"Del 07/11/1880 al 28/12/1890"
"0214-5359";"La Ilustración (Madrid)";"Madrid";"Del 03/03/1849 al 06/07/1857"
"1889-853X";"Ilustración artística";"Barcelona";"Del 01/01/1882 al 25/12/1916"
"2171-7400";"La Ilustración burocrática";"Madrid";"29/4/1887"
"1577-6166";"La Ilustración católica (Madrid. 1877)";"Madrid";"Del 05/08/1877 al 31/12/1894. Del n. 1 al n. 54"
"1577-6174";"Ilustración católica de España";"Madrid";"Del 30/08/1897 al 12/1899. Del n. 1 al n. 24"
"1577-8401";"La Ilustración de España";"Madrid";"Del 8/6/1884 al 22/12/1887"
"2173-0369";"La Ilustración de la infancia";"Madrid";"Del n. 1 (8/1/1877) al n. 101 (12/1/1879)"
"2171-3340";"La Ilustración de la mujer (Madrid)";"Madrid";"Del 31/05/1875 al 30/12/1876"
"2174-9795";"La Ilustración del pueblo";"Madrid";"Del 10/01/1897 al 31/03/1897. Del n. 1 al n. 9"
"2173-4887";"La Ilustracion del Rif";"Madrid";"05/09/1925. N. 1"
"1889-8394";"La Ilustración española y americana";"Madrid";"Del 25/12/1869 al 30/12/1921"
"2253-6019";"La Ilustración financiera";"Madrid";"Del 04/1908 al 25/12/1935. Del n. 1 al  n. 1.277"
"1885-575X";"La Ilustración hispano-americana";"Barcelona";"Del 4/1/1891 al 31/12/1891"
"1695-937X";"La Ilustración ibérica (Barcelona. 1883)";"Barcelona";"Del 06/01/1883 al 31/12/1898"
"1889-6561";"La Ilustración ibero-americana";"Barcelona";"Del 12/1929 a 1930. Del n. 1 al n. 5"
"2660-3217";"Ilustración manchega";"Ciudad Real";"Del 4/1915 al 7/1916"
"2171-2867";"La Ilustración militar (Madrid)";"Madrid";"Del 15/01/1907 al 30/12/1911"
"2254-1527";"La Ilustración moderna (Madrid)";"Madrid";"Del 12/1936 al 02/1939"
"2253-7031";"La Ilustración moderna (Barcelona)";"Barcelona";"De 1892 a 1894"
"2171-3197";"La Ilustración mundial";"Madrid";"Del 02/1925 al 15/07/1926. Del n. 1 al n. 2"
"2171-5327";"La Ilustración musical";"Barcelona";"Del 07/04/1883 al 29/03/1884. Del n. 1 al n. 52"
"1887-3723";"Ilustración musical hispano-americana";"Barcelona";"Del n. 1 (30/1/1888) al n. 191 (30/12/1895)"
"2172-6205";"La Ilustración obrera";"Barcelona";"Del n. 1 (20/2/1904) al n. 44 (17/12/1904)"
"2171-0236";"La Ilustración popular (Alicante)";"Alicante";"Del 02/05/1878 al 18/12/1878"
"2171-0228";"La Ilustración popular (Madrid. 1873)";"Madrid";"Del 16/03/1873 al 16/08/1873"
"2174-9787";"La Ilustración popular (Madrid. 1897)";"Madrid";"Del 10/04/1897 al 10/09/1897. Del n. 1 al n. 16"
"2171-3677";"La Ilustración popular económica";"Valencia";"Del 10/08/1869 al 20/12/1879"
"2171-3685";"La Ilustración popular económica de Valencia";"Valencia";"Del 1/1/1880 al 20/12/1882"
"1576-6764";"La Ilustración republicana federal";"Madrid";"Del 15/06/1871 al 16/09/1872"
"1699-6550";"La Ilustración taurómaca";"Madrid";"Del 20/6/1884 al 1/8/1884"
"2173-3333";"El Ilustrador del pueblo";"Madrid";"1841. N. 1"
"1256-8066";"Imán (Paris)";"Francia";"04/1931. N. 1"
"1697-0721";"El Imparcial o Gazeta política y literaria";"Madrid";"02/06/1809"
"2171-0260";"El Imparcial, Revista hispano-americana";"Madrid";"Del 13/06/1867 al 28/12/1867"
"2171-0023";"El Imparcial (Alicante)";"Alicante";"Del 19/09/1813 al 21/09/1813"
"2341-4138";"El Imparcial (Barcelona)";"Barcelona";"Del 2/9/1842 al 31/12/1844"
"2171-0031";"El Imparcial (Cádiz)";"Cádiz";"31/10/1812"
"2340-5090";"El Imparcial (Madrid. 1821)";"Madrid";"Del n. 1 (10/9/1821) al n. 296 (30/6/1822)"
"2171-0244";"El Imparcial (Madrid. 1867)";"Madrid";"Del 16/3/1867 al 30/05/1933"
"2487-2105";"El Imparcial (Madrid. 1977)";"Madrid";"Del 11/12/1977 al 7/12/1979"
"2605-4248";"Ímpetu (Madrid. 1937)";"Madrid";"1/1/1939"
"2444-0566";"La Independencia (Barcelona)";"Barcelona";"Del 2/2/1871 al 31/3/1873"
"2172-5306";"El Indicador de los espectáculos y del buen gusto";"Madrid";"Del n. 13 (20/5/1822) al 241 (31/12/1822)"
"1133-8555";"Índice (Madrid. 1921)";"Madrid";"Del 1921 al 1922. Del n. 1 al n. 4"
"2171-0295";"El Indispensable (Cádiz)";"Cádiz";"11/12/1838"
"2172-6477";"El Indispensable para el abogado y el útil para los demás";"Guadalajara";"Del 1910 al 1917"
"2173-0962";"Industria (Madrid. 1906)";"Madrid";"Del n. 1 (14/5/1906) al n. 16 (28/12/1906)"
"2171-9179";"Industria e invenciones";"Barcelona";"Del 05/01/1884 al 26/06/1915. Del n. 1 al n. 156"
"2171-3251";"La Industria nacional (Madrid)";"Madrid";"Del 30/01/1908 al 30/06/1936"
"2173-3260";"Indústria tèxtil (Barcelona)";"Barcelona";"Del 05/1931 al 02/1936"
"2340-5406";"La Infancia (Barcelona. 1867)";"Barcelona";"Del 6/7/1867 al 24/12/1868"
"1131-8309";"Información (Alicante)";"Alicante";"De 1999 a 2009"
"2341-4359";"La Información (Cádiz)";"Cádiz";"Del 1/11/1941 al 31/5/1942"
"2386-5644";"Información Cádiz";"Cádiz";"De 1999 a 2009"
"2386-5636";"Información El Puerto";"Cádiz";"De 1999 a 2008"
"2172-0010";"Información internacional";"Valencia";"Del n. 1 (6/9/1935) al n. 26 (31/12/1935)"
"2386-5601";"Información Jerez";"Cádiz";"De 1999 a 2009"
"2172-6744";"Información militar del extranjero";"Madrid";"Del n. 1 (1/1909) al n. 6 (12/1915)"
"2386-5628";"Información San Fernando";"Cádiz";"De 1999 a 2008"
"2335-4739";"Informe del secretario sobre los trabajos del ... año económico de la Caja";"Cuba";"Del 1840/1841 al 1844/1845"
"2478-9682";"Informe diario";"Madrid";"Del 17/11/1971 al 9/10/1976"
"2174-9361";"Ingar (Madrid)";"Madrid";"Del 11/1932 al 05/1935. Del n. 1 al n. 15"
"2173-0342";"Ingeniería y construcción";"Madrid";"Del 1/1923 al 8/1936"
"1576-9224";"Los Ingleses en España";"Sevilla";"1813. Del n. 1 al n. 18"
"2171-0066";"El Inocentón";"Barcelona";"Del 23/12/1856 al 03/07/1857. Del n. 1 al n. 24"
"2341-4618";"L'Instant (Barcelona. 1935)";"Barcelona";"Del 1/1/1935 al 30/9/1936"
"2171-2808";"Instrucción para la mujer";"Madrid";"Del 01/03/1882 al 16/02/1883"
"2173-4992";"La Instrucción pública";"Barcelona";"Del 10/01/1902 al 25/06/1902"
"2042-0862";"El Instructor o Repertorio de historia, bellas letras y artes";"Gran Bretaña";"Del 01/1834 al 12/1841. Del n. 1 al n. 96"
"2341-4367";"La Internacional (Barcelona)";"Barcelona";"Del 6/11/1908 al 23/7/1909"
"2340-7379";"Interviú (Barcelona)";"Barcelona";"Del 22/05/1976 al 28/12/2009"
"2659-3696";"El Intransigente (La Línea)";"Cádiz";"23/8/1911"
"2387-0028";"El Intransigente (Madrid)";"Madrid";"Del 5/4/1907 al 30/6/1907"
"2173-3279";"El Inventor (Madrid)";"Madrid";"Del 04/1931 al 01/1934. Del n. 1 al n. 18"
"2171-0309";"El Iris (Badajoz)";"Badajoz";"Del 04/09/1889 al 31/10/1890"
"2173-5018";"Iris (Alicante)";"Alicante";"Del 10/04/1912 al 19/04/1913. Del n. 30 al n. 76"
"1889-9021";"Iris (Barcelona. 1899)";"Barcelona";"Del 1899 al 31/12/1904. Del n. 1 al n. 295"
"2172-072X";"El Iris (Madrid. 1858)";"Madrid";"Del n. 1 (5/5/1858) al n. 11 (11/7/1858)"
"2171-6404";"Iris (San Fernando)";"Cádiz";"Del n. 1 (09/07/1914) al n. 13 (30/10/1914)"
"2341-4375";"El Iris del pueblo";"Baleares";"Del 28/2/1855 al 30/11/1855"
"2173-9676";"El Iris de paz";"Huesca";"Del 31/03/1883 al 31/12/1885. Del n. 2 al n. 65"
"1885-902X";"Isla (Cádiz)";"Cádiz";"Del 1932 al 1940. Del n. 1 al n. 20"
"2173-4879";"La Isla (San Fernando)";"Cádiz";"Del 30/11/1915 al 30/04/1917. Del n. 11 al n. 55"
"2660-1982";"Isla de la Palma (Partido Liberal-Conservador)";"Santa Cruz de Tenerife";"25/5/1910"
"2341-4383";"El Isleño (Palma de Mallorca)";"Baleares";"Del 1/1/1858 al 6/4/1867"
"2387-0001";"La Izquierda dinástica";"Madrid";"Del 2/7/1897 al 17/11/1899"
"1576-5334";"Jaén (Jaén. 1983)";"Jaén";"1999-2009, 2018-"
"2660-2016";"Jaén federal";"Jaén";"4/9/1911"
"2660-1443";"Jaén obrero";"Jaén";"30/3/1911"
"2172-2528";"El Jardín (Madrid)";"Madrid";"Del n. 1 (09/1866) al n. 27 (03/1867)"
"1695-3312";"Joia (Badalona)";"Barcelona";"Del 3/1928 a 10/1928"
"2171-0317";"La Jornada deportiva (Barcelona)";"Barcelona";"Del 24/07/1922 al 24/02/1925"
"1578-9799";"Jornada deportiva (Santa Cruz de Tenerife)";"Santa Cruz de Tenerife";"Del 2/1/1999 al 18/8/2001"
"2171-0325";"El Jorobado (Madrid)";"Madrid";"Del 01/03/1836 al 16/08/1836"
"2172-3664";"Joven guardia";"Madrid";"Del 23/8/1936 al 8/10/1936"
"2253-7651";"La Joven Navarra";"Navarra";"Del n. 1 (16/2/1860) al n. 13 (16/5/1860)"
"1699-7085";"Juan Rana";"Madrid";"Del 18/03/1897 al 17/03/1906"
"2660-1478";"El Jueves (Fortuna)";"Murcia";"31/8/1911"
"1886-8525";"Junta General del Banco Nacional de San Carlos celebrada en ...";"Madrid";"1791"
"2487-8235";"La Justicia (Grado)";"Asturias";"14/5/1911"
"2171-7265";"La Justicia (Madrid. 1888)";"Madrid";"Del 1/4/1888 al 30/6/1897"
"2660-1567";"Juventud (Aspe)";"Alicante";"14/10/1911"
"2660-1540";"Juventud (Bilbao)";"Vizcaya";"29/10/1910"
"2171-018X";"Juventud (Madrid. 1901)";"Madrid";"Del 01/10/1901 al 8/3/1902"
"2444-6726";"Juventud (Madrid. 1936)";"Madrid";"Del 27/6/1936 al 6/12/1936"
"2171-0171";"Juventud ilustrada";"Barcelona";"Del 02/12/1905 al 15/12/1906"
"2660-1575";"Juventud obrera (Guadalajara)";"Guadalajara";"26/8/1911"
"2660-1907";"Juventud radical (Madrid)";"Madrid";"22/2/1911"
"2171-2859";"Kafé kon media--";"Madrid";"Del 18/04/1915 al 06/08/1916"
"1579-1068";"Kalendario manual y guía de forasteros en Madrid";"Madrid";"Del 1744 al 1837"
"1885-3706";"KChT (Madrid)";"Madrid";"Del 19/10/1924 al 08/04/1928"
"2172-9735";"Kinos (Madrid)";"Madrid";"Del n. 13 (7/1928) al n. 23/24 (12/1931)"
"1889-8920";"El Laberinto (Madrid)";"Madrid";"Del 01/11/1843 al 20/10/1845"
"2173-2418";"Labor (Madrid. 1933)";"Madrid";"Del n. 1 (15/7/1933) al n. 155 (18/7/1936)"
"2171-0368";"El Labriego (Madrid)";"Madrid";"1840. Del n. 1 al n. 15"
"2444-0922";"Lanza (Ciudad Real)";"Ciudad Real";"De 2006 a 2009"
"2488-0574";"Latigazo (Manila. Reimp. en Sevilla)";"Filipinas";"01/1821"
"2171-7567";"El Látigo (Madrid. 1889)";"Madrid";"n. 17 (30/1/1890)"
"2660-0900";"El Látigo (Salamanca)";"Salamanca";"11/3/1911"
"2171-0376";"El Látigo liberal contra el Zurriago indiscreto";"Madrid";"1821. Del n. 1 al n. 30"
"2171-830X";"Latomia (Madrid)";"Madrid";"De 1932 a 1934"
"2335-5204";"Laurac-Bat (Habana)";"Cuba";"Del 9/9/1888 al 16/2/1890"
"2697-2832";"Laurac-Bat (Montevideo)";"Uruguay";"Del 1/4/1878 al 16/4/1884"
"2172-9948";"El Laurel literario";"Baleares";"Del n. 1 (27/3/1842) al n. 36 (27/11/1842)"
"2171-0384";"La Lectura (Madrid)";"Madrid";"Del 01/1901 al 09/1920"
"2171-3189";"La Lectura dominical";"Madrid";"Del 07/01/1894 al 11/07/1936"
"0047-4304";"Lecturas (Barcelona)";"Barcelona";"Del 5/10/2005 al 28/11/2007"
"2444-6173";"Lecturas populares";"Madrid";"Del n. 1 (1/7/1858) al n. 12 (15/12/1858)"
"2603-9664";"Legiones y falanges";"Italia";"Del 11/1940 al 6/1943"
"2171-3243";"El Lenguaje (Madrid)";"Madrid";"Del 01/01/1912 al 01/08/1914. Del n. 1 al n. 32"
"2174-9876";"Letras (Sevilla)";"Sevilla";"Del n. 1 (30/9/1935) al n. 5 (4/4/1936)"
"1889-7797";"Letras montañesas";"Cantabria";"Del n. 1 (5/6/1909) al n. 65 (3/9/1910)"
"1131-9437";"Levante (Valencia)";"Valencia";"De 1999 a 2009"
"1131-950X";"Levante de Castellón, El Mercantil valenciano";"Castellón";"De 1999 a 2007"
"2341-4626";"La Ley (Barcelona. 1842)";"Barcelona";"Del 1/4/1842 al 6/9/1842"
"2254-4615";"El Liberal (Las Palmas de Gran Canaria)";"Las Palmas";"Del 22/09/1927 al 20/10/1927"
"2174-6648";"El Liberal (Madrid. 1879)";"Madrid";"Del 15/07/1879 al 26/03/1939"
"2660-2121";"El Liberal (Cuenca)";"Cuenca";"30/8/1911"
"2488-3689";"La Libertad (Madrid. 1919)";"Madrid";"Del 21/12/1919 al 26/03/1939"
"2487-1311";"La Libertad (Madrid)";"Madrid";"Del 13/12/1919 al 18/12/1919"
"2660-180X";"Libertad (Cieza)";"Murcia";"26/2/1911"
"2171-5432";"Libertad (Cuenca)";"Cuenca";"Del n. 1 al n. 7 (1937) y n. extraordinario julio 1938"
"2660-1796";"El Libertario (Madrid)";"Madrid";"7/9/1909"
"2171-0392";"El Liberto (Murcia)";"Murcia";"Del 14/09/1820 al 30/03/1821"
"2444-5681";"La Librería (Madrid. 1882)";"Madrid";"Del 5/1882 al 2/1884"
"2172-7090";"El Liceo (Madrid)";"Madrid";"Del  n. 1 (5/1/1879) al n. 34 (24/8/1879)"
"2171-8482";"El Liceo de Granada";"Granada";"Del 1/4/1869 al 12/1875"
"1885-4583";"La Lidia (Madrid. 1882)";"Madrid";"Del 02/04/1882 al 16/11/1927"
"1885-4591";"La Lidia (Madrid. 1914)";"Madrid";"Del 28/04/1914 al 20/07/1931"
"2335-5131";"El Lince (Habana)";"Cuba";"Del 01/02/1811 al 01/05/1812. Del n. 1 al n. 114"
"2172-2501";"Línea (Madrid. 1935)";"Madrid";"Del n. 1 (29/10/1935) al n. 5 (31/12/1935)"
"2171-9640";"Línea de fuego";"Teruel";"n. 65 (7 dic. 1936) "
"2171-0198";"La Linterna mágica";"Madrid";"Del 1849 al 1850. Del n. 1 al n. 24"
"1131-3161";"La Linterna médica";"Madrid";"Del 08/01/1851 al 24/08/1851. Del n. 1 al n. 16"
"2172-3508";"La Lira española (Madrid. 1872)";"Madrid";"Del n. 1 (31/10/1872) al n. 28 (25/12/1873)"
"2172-539X";"Lira española (Madrid. 1914)";"Madrid";"Del n. 11 (15/8/1914) al n. 27 (15/4/1915)"
"2255-0852";"Lista alfabética de los individuos de que se compone el Colegio de Agentes de Negocios de Madrid";"Madrid";"Del 1850 al 1883"
"2386-5199";"Lista de los autores, compositores y propietarios";"Madrid";"1908 y 1910"
"1889-5549";"Literatura hispano-americana";"Cádiz";"Del 9/1913 al 12/1926"
"2660-1893";"La Llanura (Salamanca)";"Salamanca";"5/10/1909"
"2171-0554";"El Lloyd español";"Barcelona";"Del 02/09/1861 al 12/02/1868"
"2341-4634";"El Locomotor (Barcelona)";"Barcelona";"Del 16/3/1849 al 28/12/1849"
"1889-8033";"Lola (Sigüenza)";"Guadalajara";"Del 12/1927 al 06/1928. Del n. 1 al n. 6"
"2488-765X";"La Lucha (Béjar)";"Salamanca";"8/4/1910"
"2487-8995";"La Lucha (Madrid. 1930)";"Madrid";"30/4/1930"
"2660-2059";"La Lucha (Reus)";"Tarragona";"26/8/1911"
"2660-1990";"La Lucha (Sevilla)";"Sevilla";"11/11/1906"
"2486-4307";"Lucindo";"Valencia";"Del 01/01/1814 al 07/01/1814"
"2171-3111";"Lumen (Madrid. 1910)";"Madrid";"Del 01/1910 al 12/1911. Del n. 1 al n. 24"
"2173-4690";"Lumen (Tarrasa)";"Barcelona";"Del 12/1923 al 04/1926"
"2479-0745";"La Luna de Madrid";"Madrid";"De 1983 a 1988"
"1698-5567";"La Luna de Metrópoli";"Madrid";"6/1/2017-"
"2172-0266";"Luz, unión y verdad";"Barcelona";"Del 10/1916 al 03/1919"
"2173-2736";"La Luz (Barcelona. 1861)";"Barcelona";"Del 11/1861 al 28/12/1862. Del n. 1 al  n. 61"
"2174-6354";"La Luz (Madrid. 1888)";"Madrid";"Del 8/7/1888 al 31/3/1889"
"2487-1281";"Luz (Madrid. 1932)";"Madrid";"Del 07/01/1932 al 07/09/1934"
"2173-4895";"Luz católica";"Valencia";"Del 04/01/1900 al 05/02/1903. Del n. 1 al  n. 122"
"2660-163X";"La Luz de la comarca";"Murcia";"21/8/1910, 10/9/1911"
"2172-024X";"La Luz del porvenir (1879)";"Barcelona";"Del 29/05/1884 al 17/05/1888. Del n. 1 al n. 52"
"2172-0258";"La Luz del porvenir (1911)";"Barcelona";"Del 01/1925 al 12/1934. Del n. 145 al n. 435"
"2171-0570";"La Luz riojana";"La Rioja";"Del 08/01/1844 al 22/12/1844"
"2171-2638";"Luz y unión";"Barcelona";"Del 10/05/1900 al 12/1910"
"2173-9420";"Macrocosmo (Barcelona)";"Barcelona";"Del 07/1933 al 06/1935. Del n. 1 al n. 24"
"2254-576X";"La Madeja política";"Barcelona";"Del 1/11/1873 al 2/1/1875"
"2171-2689";"La Madre y el niño (Madrid)";"Madrid";"Del 01/1883 al 12/1884. Del n. 1 al n. 18"
"2172-5608";"Madrid (Madrid. 1901)";"Madrid";"n. 8 (26/6/1901)"
"2171-0562";"Madrid alegre";"Madrid";"Del 12/10/1889 al 20/06/1890. Del n. 2 al n. 37"
"2171-326X";"Madrid automóvil";"Madrid";"Del 01/1925 al 12/1935. Del n. 1 al n. 132"
"2171-0678";"Madrid científico";"Madrid";"Del 1897 al 1936. Del n. 117 al n. 1409"
"1695-0216";"Madrid cómico";"Madrid";"Del 04/01/1880 al 29/12/1923"
"2253-6043";"Madrid ilustrado";"Madrid";"Del 11/1934 al 04/1936. Del n. 1 al n. 16"
"2659-7152";"Madrid me mata (Madrid)";"Madrid";"De 1984 a 1986. Del n. 1 al n. 15"
"1696-8492";"Madrid-sport (Madrid)";"Madrid";"Del 05/10/1916 al 25/12/1924"
"2171-3057";"Madrid turístico y monumental";"Madrid";"Del 02/1935 al 04/1936. Del n. 1 al n. 9"
"2479-0818";"Madriz (Madrid)";"Madrid";"De 1/1984 a 11/1986"
"2341-5266";"Majorca daily bulletin";"Baleares";"2014-"
"1698-1960";"Málaga hoy (2004)";"Málaga";"2015-"
"2171-0716";"El Mallorquín (Palma de Mallorca)";"Baleares";"Del 1/12/1856 al 31/8/1861"
"0214-5480";"La Malva (Madrid)";"Madrid";"Del 5/11/1859 al 25/1/1860"
"2486-739X";"El Manifiesto (Madrid. 1880)";"Madrid";"Del 1/1/1881 al 30/12/1881"
"2444-1635";"La Mañana (Lérida)";"Lérida";"De 1999 a 2009"
"2171-7346";"La Mañana (Madrid. 1909)";"Madrid";"Del 5/12/1909 al 6/2/1920"
"2387-1679";"El Mañana (Teruel)";"Teruel";"Del 30/12/1928 al 15/4/1931"
"2171-8210";"Mar (Madrid. 1935)";"Madrid";"Del n. 9 (4/1935) al n. 23 (6/1936)"
"2172-2536";"Las Maravillas y progresos del siglo";"Barcelona";"Del n. 1 (1/7/1876) al n. 12 (9/10/1876)"
"2171-3278";"Lo Maravilloso (Madrid)";"Madrid";"Del 10/04/1909 al 30/03/1910. Del n. 1 al n. 24"
"2340-0595";"Marca (Madrid)";"Madrid";"Del 21/12/1938 al 31/12/2010, 1/1/2017-"
"2445-3013";"Marca estilo";"Madrid";"23/6/2017-20/12/2017"
"2445-3633";"Marca. Semanario gráfico de los deportes";"Madrid";"Del 5/11/1946 al 30/7/1963"
"2445-3625";"Marca. Suplemento gráfico de los deportes";"Madrid";"Del 26/9/1944 al 5/11/1946"
