"ISSN";"Title";"Geographical sphere";"Comprises"
"2173-1411";"Andalucía (Barcelona. 1931)";"Barcelona";"Del n. 1 (7/1931) al n. 8 (3/1932)"
"2171-5173";"Andalucía (Sevilla)";"Sevilla";"Del 01/06/1916 al 01/12/1917. Del n. 1 al n. 19"
"2415-2943";"Los Andes libres";"Perú";"Del 24/7/1821 al 21/8/1821"
"2171-5262";"El Anfión matritense";"Madrid";"Del 13/01/1843 al 02/07/1843. Del n. 2 al n. 26"
"2254-4712";"El Ángel del hogar (Madrid)";"Madrid";"Del 08/01/1865 al 31/12/1865"
"2172-3648";"Las Ánimas (Madrid)";"Madrid";"Del 1/3/1869 al 26/7/1869"
"2171-8334";"Antena (Madrid. 1928)";"Madrid";"Del n. 20 (1/1930) al n. 91 (12/1935)"
"0570-3603";"Antología del humor (Madrid)";"Madrid";"De 1951 a 1965"
"2481-9042";"Antología española (Madrid)";"Madrid";"Del 1/1848 al 3/1848"
"2335-5379";"Antón Perulero (La Habana)";"Cuba";"Del n. 1 (2/6/1861) al n. 26 (24/11/1861)"
"2172-8291";"Anuario-almanaque del comercio, de la industria, de la magistratura y de la administración";"Madrid";"Del 1879 al 1880"
"2173-4410";"Anuario Batllés. Región Valenciana";"Valencia";"1914"
"1889-9161";"Anuario de electricidad";"Madrid";"Del 1900 al 1905"
"2172-0037";"Anuario de El Toreo";"Madrid";"1885"
"2172-637X";"Anuario de ferrocarriles españoles";"Madrid";"De 1893 a 1927"
"2171-164X";"Anuario de la Asociación General de Profesores de Orquesta de Madrid";"Madrid";"Del 07/11/1904 al 22/06/1909"
"2172-6019";"Anuario del arte tipográfico y de la librería";"Barcelona";"1878"
"2172-8305";"Anuario del comercio, de la industria, de la magistratura y de la administración";"Madrid";"Del 1881 al 1911"
"2172-6396";"Anuario del comercio, industria, profesiones y tributación del País Vasco";"Vizcaya";"De 1929 a 1930"
"1136-4629";"Anuario del Cuerpo Facultativo de Archiveros, Bibliotecarios y Anticuarios";"Madrid";"Del 1881 al 1882"
"1136-4610";"Anuario del Cuerpo Facultativo de Archiveros, Bibliotecarios y Arqueólogos";"Madrid";"Del 1934 al 1935. Del n. 1 al n. 2"
"1132-5232";"Anuario de medicina homeopática";"Madrid";"1862"
"0213-3989";"Anuario de prehistoria madrileña";"Madrid";"Del 1930 al 1933"
"2173-9595";"Anuario de primera enseñanza (Tarragona)";"Tarragona";"Del 25/12/1863 al 25/1/1865. Del n. 1 al n. 14"
"1889-6057";"Anuario Diario de León (CD-ROM)";"León";"De 2002 a 2011"
"2531-0283";"Anuario económico de Córdoba";"Córdoba";"2013"
"0211-9366";"Anuario El País";"Madrid";"De 1982 a 2008"
"2172-8283";"Anuario Garciceballos";"Madrid";"Del 1919/1920 al 1922/1923"
"2172-6418";"Anuario-guía de Guadalajara y su provincia";"Guadalajara";"De 1904 a 1909"
"2605-4140";"Anuario-guía de las playas y balnearios de España";"Madrid";"1924"
"2172-6485";"Anuario jurídico indispensable al abogado y útil para los demás";"Barcelona";"De 1927 a 1935"
"2174-9760";"Anuario literario y artístico";"Madrid";"Del 1890 al 1892. Del n. 1 al 3"
"2605-3764";"Anuario médico-farmacéutico";"Madrid";"Del 1899 al 1905"
"2387-1229";"Anuario Menorca";"Baleares";"2014,2016"
"2171-6064";"Anuario militar de España";"Madrid";"De 1891 a 1936"
"2171-1623";"Anuario musical de España";"Barcelona";"1930"
"0212-9132";"Anuario oficial de las aguas minerales de España";"Madrid";"Del 1876/1877 al 1889"
"2253-6795";"Anuario penitenciario, administrativo y estadístico";"Madrid";"1888"
"2173-4429";"Anuario regional descriptivo, informativo y seleccionado de la industria, comercio, agricultura, profesiones, arte y turismo del Norte de España";"Madrid";"1932"
"2173-4666";"Anuario regional descriptivo, informativo y seleccionado de la industria, comercio, agricultura, profesiones, arte y turismo de la región de Andalucía y Norte español de África";"Madrid";"1932"
"2172-8313";"Anuario-Riera";"Barcelona";"Del 1896 al 1908"
"2171-7990";"Anuario taurino de ...";"Madrid";"De 1913 a 1917"
"2171-2921";"El Año académico y cultural";"Madrid";"1926"
"2171-2972";"El Año de la infantería";"Madrid";"Del 1901 al 1902"
"2387-032X";"El Año en la mano";"Barcelona";"De 1908 a 1928"
"2171-0457";"El Año político";"Madrid";"Del 1895 al 1928"
"2174-6591";"El Apéndice al Zurriago";"Madrid";"Del 14/01/1823 al 07/02/1823. Del n. 1 al n. 4"
"2444-6327";"El Apologista universal";"Madrid";"Del n. 1 al n. 16 (1786)"
"1888-8089";"Apuntes para la historia o Verdaderos y únicos principios de la imprevista y milagrosa revolución de Sevilla";"Cádiz";"Del 01/01/1811 al 15/01/1811"
"2171-2905";"Aragón artístico";"Zaragoza";"Del 10/10/1888 al 20/06/1890. Del n. 1 al n. 62"
"2172-6078";"Archivo de investigaciones históricas";"Madrid";"Del n. 1 (1/1911) al n. 6 (12/1911)"
"1698-9589";"El Archivo de la milicia española";"Madrid";"1/7/1843. N. 1"
"1698-9392";"El Archivo del ejército";"Madrid";"Del 4/6/1843 al 17/6/1843"
"1698-9570";"El Archivo de los militares";"Madrid";"28/6/1843"
"2444-6041";"Archivo de matemáticas puras y aplicadas";"Valencia";"Del n. 1 (1/1896) al n. 12 (12/1896)"
"1698-8760";"Archivo diplomático de España";"Madrid";"Del 07/01/1884 al 30/07/1885"
"1698-8752";"Archivo diplomático-político de España";"Madrid";"Del 15/04/1883 al 29/12/1883"
"1698-8787";"Archivo diplomático y consular de España";"Madrid";"Del 15/08/1885 al 31/12/1892"
"1699-0129";"El Archivo militar";"Madrid";"Del 1/4/1841 al 26/8/1841"
"1699-0420";"El Archivo militar. Sección militar";"Madrid";"Del 2/9/1841 al 31/3/1842"
"1699-0439";"El Archivo militar. Sección política";"Madrid";"Del 7/9/1841 al 29/3/1842"
"1699-0447";"El Archivo militar (1842)";"Madrid";"Del 6/4/1842 al 10/10/1850"
"1131-3501";"Archivos de la medicina homeopática (Barcelona)";"Barcelona";"Del 15/11/1877 al 30/10/1879. Del n. 1 al n. 48"
"2444-0590";"Área (La Línea de la Concepción)";"Cádiz";"De 1999 a 2009"
"9970-7659";"El Aristarco";"México";"1811. Del n. 2 al n. 9"
"2444-5983";"Armada (Cartagena)";"Murcia";"Del n. 1 (27/2/1937) al n. 92 (26/11/1938)"
"2603-641X";"Armas y letras (Valencia)";"Valencia";"Del 10/1937 al 12/1937"
"2482-3163";"La Armonía (Madrid)";"Madrid";"Del 1/11/1870 al 20/10/1871"
"1579-6957";"El Arpa del creyente";"Madrid";"Del 06/10/1842 al 25/12/1842. Del n. 1 al n. 12"
"0211-3384";"Arquitectura (Madrid. 1918)";"Madrid";"Del 15/5/1918 al 5/1936"
"1887-5351";"Arquitectura y construcción (Barcelona)";"Barcelona";"Del 8/3/1897 a 1922"
"2413-6506";"¡Arriba España! (Lima)";"Perú";"Del n. 1 (11/1937) al n. 7/8 (5/1938)"
"2171-5297";"El Arte (Madrid. 1866)";"Madrid";"Del 14/10/1866 al 23/12/1866. Del n. 1 al n. 12"
"2171-5300";"El Arte (Madrid. 1873)";"Madrid";"Del 05/10/1873 al 13/12/1874. Del n. 1 al n. 63"
"2171-5319";"Arte (Madrid. 1932)";"Madrid";"Del 01/09/1932 al 01/06/1933. Del n. 1 al n. 2"
"1889-8602";"El Arte de el teatro (Madrid. 1906)";"Madrid";"Del 01/04/1906 al 15/12/1908"
