Cust 3: Table 1
					to All or Lon			Log			Mah			to Out			Log			Mah				
Yr	No	ff	ff	Desc	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d	L	s	d		
	1887	160084	196833		69651	114552	40854	42918		8130	
	1888	206450	213020		95569	101368	43511	41587	7105	16782	
	1889	260089	300879		125234	162997	50523	43516	1280	16782	
	1890	282045	287690		131846	170855	51204	45249	7854	17595	
	1891	272214	280521		112102	154619	52528	45270	5884	17000	
	1892	230610	228536		89535	104450	44449	43791	5259	16317	
	1893	169226	247318		64830	137405	34973	42339	3380	30458	
	1894						38212	45057	2327	34736	
	1895	299103	264197		88025	120749	49071	56537	2097	34736	
	1896	300954	283663		107656	156486	64339	55416	114	34736	
	1897	292613	288969		100095	158409	64613	65716	743	34736	
	1898	256977	263908		86446	175550	56521	62019		34736	
	1899	212237	263090		66562	177033	51535	53994		34736	
											
HCP 49	1842				414103	864502					Exp imp in official values
											
CP Cd.7165	1898	256977	263908		86446	175550	56521	62019		34736	Rate B$ 1 = 0.4.1(1/3)
	1899	212237	263090		86562	177033	51535	53994		34736	Rev and Exp > 1900 given for 12 months ended 31 Mar year following marked yr.
	1900	246661	267606		77402	126248	59615	50659		34736	Exp Ln for 12 months ended 31 Mar yr following marked yr
	1901	252511	285514		76853	130840	55940	52809		34736	STOPPED GB DATA HERE
	1902	252382	280010		69334	85771	53362	51850		34736	
	1903	364445	380931		95360	69743	61912	54686		34736	
	1904	361227	383129		96087	86017	63679	58020		34736	
	1905	385737	377246		101929	96765	68267	61739		34736	
	1906	452333	415018		120755	118450	80549	64932	1142	34736	
	1907	496565	454491		136696	93343	81232	69457	36751	34736	
	1908	550245	452592		141927	98285	74188	69169	41005	34736	
	1909	555873	454077		113434	73145	81370	88545	33169	34736	
