		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
GRC	Greece	0.60	0.60			60	60	60		0.60	0.60	0.60						
GTM	Guatemala 	0.55	0.35			60	50	35		0.60	0.50	0.35						
GIN	Guinea	0.40	0.20			40	40	20		0.40	0.40	0.20						
GNB	Guinea-Bissau	0.30	0.20			30	30	20		0.30	0.30	0.20						
GUY	Guyana	0.35	0.35			30	40	35		0.30	0.40	0.35						
HTI	Haiti	0.30	0.10			30	30	10		0.30	0.30	0.10						
HND	Honduras 	0.60	0.30			60	60	30		0.60	0.60	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.73	0.65			75	70	65		0.75	0.70	0.65						
ISL	Iceland	0.63	0.90			65	60	90		0.65	0.60	0.90						
IND	India	0.38	0.50			35	40	50		0.35	0.40	0.50						
IDN	Indonesia	0.38	0.30			35	40	30		0.35	0.40	0.30						
IRN	Iran	0.05	0.10			0	10	10		0.00	0.10	0.10						
IRL	Ireland	0.88	0.90			95	80	90		0.95	0.80	0.90						
ISR	Israel	0.78	0.70			85	70	70		0.85	0.70	0.70						
ITA	Italy	0.68	0.55			75	60	55		0.75	0.60	0.55						
JAM	Jamaica 	0.73	0.45			85	60	45		0.85	0.60	0.45						
JPN	Japan	0.55	0.80			60	50	80		0.60	0.50	0.80						
JOR	Jordan	0.63	0.55			65	60	55		0.65	0.60	0.55						
KAZ	Kazakhstan	0.40	0.30			30	50	30		0.30	0.50	0.30						
KEN	Kenya	0.48	0.30			45	50	30		0.45	0.50	0.30						
KIR	Kiribati	0.28	0.30			25	30	30		0.25	0.30	0.30						
KWT	Kuwait	0.53	0.50			55	50	50		0.55	0.50	0.50						
KGZ	Kyrgyz Republic 	0.50	0.25			50	50	25		0.50	0.50	0.25						
LAO	Laos	0.23	0.15			25	20	15		0.25	0.20	0.15						
LVA	Latvia	0.65	0.55			80	50	55		0.80	0.50	0.55						
LBN	Lebanon	0.58	0.30			55	60	30		0.55	0.60	0.30						
LSO	Lesotho	0.33	0.40			25	40	40		0.25	0.40	0.40						
LBR	Liberia	0.20	0.25			20	20	25		0.20	0.20	0.25						
LBY	Libya	0.15	0.10			10	20	10		0.10	0.20	0.10						
LTU	Lithuania	0.78	0.55			75	80	55		0.75	0.80	0.55						
LUX	Luxembourg	0.88	0.90			95	80	90		0.95	0.80	0.90						
MAC	Macau	0.75	0.60			80	70	60		0.80	0.70	0.60						
MKD	Macedonia	0.60	0.35			60	60	35		0.60	0.60	0.35						
MDG	Madagascar	0.55	0.45			60	50	45		0.60	0.50	0.45						
MWI	Malawi	0.50	0.45			50	50	45		0.50	0.50	0.45						
MYS	Malaysia 	0.40	0.55			30	50	55		0.30	0.50	0.55						
MDV	Maldives	0.33	0.30			35	30	30		0.35	0.30	0.30						
MLI	Mali	0.45	0.35			50	40	35		0.50	0.40	0.35						
MLT	Malta	0.65	0.80			70	60	80		0.70	0.60	0.80						
MRT	Mauritania	0.35	0.25			30	40	25		0.30	0.40	0.25						
MUS	Mauritius	0.78	0.60			85	70	60		0.85	0.70	0.60						
MEX	Mexico	0.63	0.50			65	60	50		0.65	0.60	0.50						
FSM	Micronesia	0.25	0.30			20	30	30		0.20	0.30	0.30						
MDA	Moldova	0.40	0.40			30	50	40		0.30	0.50	0.40						
MNG	Mongolia	0.55	0.30			50	60	30		0.50	0.60	0.30						
MNE	Montenegro	0.53	0.40			55	50	40		0.55	0.50	0.40						
MAR	Morocco	0.60	0.40			60	60	40		0.60	0.60	0.40						
MOZ	Mozambique 	0.50	0.30			50	50	30		0.50	0.50	0.30						
NAM	Namibia	0.45	0.30			50	40	30		0.50	0.40	0.30						
NPL	Nepal	0.23	0.35			15	30	35		0.15	0.30	0.35						
NZL	New Zealand	0.80	0.95			80	80	95		0.80	0.80	0.95						
NIC	Nicaragua 	0.53	0.25			55	50	25		0.55	0.50	0.25						
NER	Niger	0.45	0.30			50	40	30		0.50	0.40	0.30						
NGA	Nigeria	0.40	0.30			40	40	30		0.40	0.40	0.30						
PRK	North Korea	0.00	0.05			0	0	5		0.00	0.00	0.05						
NOR	Norway	0.63	0.90			65	60	90		0.65	0.60	0.90						
OMN	Oman	0.58	0.50			55	60	50		0.55	0.60	0.50						
PAK	Pakistan 	0.35	0.30			30	40	30		0.30	0.40	0.30						
PAN	Panama 	0.68	0.40			65	70	40		0.65	0.70	0.40						
PNG	Papua New Guinea	0.33	0.20			35	30	20		0.35	0.30	0.20						
PRY	Paraguay 	0.63	0.30			65	60	30		0.65	0.60	0.30						
PER	Peru	0.65	0.40			70	60	40		0.70	0.60	0.40						
POL	Poland	0.60	0.55			60	60	55		0.60	0.60	0.55						
PRT	Portugal	0.65	0.70			70	60	70		0.70	0.60	0.70						
QAT	Qatar	0.48	0.65			45	50	65		0.45	0.50	0.65						
COG	Republic of Congo 	0.23	0.10			15	30	10		0.15	0.30	0.10						
ROM	Romania	0.63	0.40			75	50	40		0.75	0.50	0.40						
RUS	Russia	0.33	0.25			25	40	25		0.25	0.40	0.25						
RWA	Rwanda	0.40	0.30			40	40	30		0.40	0.40	0.30						
LCA	Saint Lucia	0.48	0.70			55	40	70		0.55	0.40	0.70						
VCT	Saint Vincent and the Grenadines	0.48	0.70			55	40	70		0.55	0.40	0.70						
WSM	Samoa	0.30	0.55			30	30	55		0.30	0.30	0.55						
STP	SÃ£o TomÃ© and PrÃ	0.38	0.30			45	30	30		0.45	0.30	0.30						
SAU	Saudi Arabia	0.48	0.40			45	50	40		0.45	0.50	0.40						
SEN	Senegal	0.38	0.45			35	40	45		0.35	0.40	0.45						
SRB	Serbia 	0.50	0.40			50	50	40		0.50	0.50	0.40						
SYC	Seychelles	0.40	0.50			50	30	50		0.50	0.30	0.50						
SLE	Sierra Leone	0.30	0.10			40	20	10		0.40	0.20	0.10						
SGP	Singapore	0.63	0.90			75	50	90		0.75	0.50	0.90						
SVK	Slovakia	0.70	0.55			70	70	55		0.70	0.70	0.55						
SVN	Slovenia	0.60	0.60			70	50	60		0.70	0.50	0.60						
SLB	Solomon Islands	0.20	0.30			10	30	30		0.10	0.30	0.30						
ZAF	South Africa	0.53	0.50			45	60	50		0.45	0.60	0.50						
KOR	South Korea	0.70	0.70			70	70	70		0.70	0.70	0.70						
ESP	Spain	0.80	0.70			80	80	70		0.80	0.80	0.70						
LKA	Sri Lanka	0.28	0.40			15	40	40		0.15	0.40	0.40						
SUR	Suriname	0.23	0.40			15	30	40		0.15	0.30	0.40						
SWZ	Swaziland	0.48	0.45			55	40	45		0.55	0.40	0.45						
SWE	Sweden	0.83	0.95			85	80	95		0.85	0.80	0.95						
CHE	Switzerland	0.80	0.90			80	80	90		0.80	0.80	0.90						
SYR	Syria	0.20	0.25			20	20	25		0.20	0.20	0.25						
TWN	Taiwan	0.58	0.70			65	50	70		0.65	0.50	0.70						
TJK	Tajikistan	0.33	0.25			25	40	25		0.25	0.40	0.25						
TZA	Tanzania	0.58	0.30			65	50	30		0.65	0.50	0.30						
THA	Thailand 	0.55	0.45			40	70	45		0.40	0.70	0.45						
BHS	The Bahamas	0.50	0.70			30	70	70		0.30	0.70	0.70						
GMB	The Gambia	0.53	0.25			55	50	25		0.55	0.50	0.25						
NLD	The Netherlands	0.85	0.90			90	80	90		0.90	0.80	0.90						
PHL	The Philippines	0.45	0.30			40	50	30		0.40	0.50	0.30						
TMP	Timor-Leste	0.20	0.20			20	20	20		0.20	0.20	0.20						
TGO	Togo	0.28	0.30			25	30	30		0.25	0.30	0.30						
TON	Tonga	0.23	0.20			25	20	20		0.25	0.20	0.20						
TTO	Trinidad and Tobago	0.65	0.50			60	70	50		0.60	0.70	0.50						
TUN	Tunisia	0.33	0.50			35	30	50		0.35	0.30	0.50						
TUR	Turkey	0.58	0.50			65	50	50		0.65	0.50	0.50						
TKM	Turkmenistan	0.05	0.10			0	10	10		0.00	0.10	0.10						
UGA	Uganda	0.53	0.30			45	60	30		0.45	0.60	0.30						
UKR	Ukraine	0.25	0.30			20	30	30		0.20	0.30	0.30						
ARE	United Arab Emirates	0.43	0.50			35	50	50		0.35	0.50	0.50						
GBR	United Kingdom	0.85	0.85			90	80	85		0.90	0.80	0.85						
USA	United States	0.73	0.85			75	70	85		0.75	0.70	0.85						
URY	Uruguay 	0.53	0.75			75	30	75		0.75	0.30	0.75						
UZB	Uzbekistan	0.10	0.20			10	10	20		0.10	0.10	0.20						
VUT	Vanuatu	0.30	0.40			20	40	40		0.20	0.40	0.40						
VEN	Venezuela 	0.13	0.00			5	20	0		0.05	0.20	0.00						
VNM	Vietnam	0.25	0.15			20	30	15		0.20	0.30	0.15						
YEM	Yemen	0.38	0.30			45	30	30		0.45	0.30	0.30						
ZMB	Zambia	0.50	0.30			50	50	30		0.50	0.50	0.30						
ZWE	Zimbabwe	0.05	0.05			0	10	5		0.00	0.10	0.05						

WGI2008: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
					Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
	name	HER11RQ	HER11RL		 	investment freedom	financial freedom	property rights										
ALB	Albania	0.70	0.30			70	70	30		0.70	0.70	0.30						
DZA	Algeria	0.40	0.30			50	30	30		0.50	0.30	0.30						
AGO	Angola	0.30	0.20			20	40	20		0.20	0.40	0.20						
ARG	Argentina	0.45	0.20			50	40	20		0.50	0.40	0.20						
ARM	Armenia	0.70	0.35		 	70	70	35		0.70	0.70	0.35						
AUS	Australia	0.85	0.90			80	90	90		0.80	0.90	0.90						
AUT	Austria	0.70	0.90			70	70	90		0.70	0.70	0.90						
AZE	Azerbaijan	0.35	0.25			30	40	25		0.30	0.40	0.25						
BHR	Bahrain	0.70	0.60			60	80	60		0.60	0.80	0.60						
BGD	Bangladesh 	0.20	0.25			20	20	25		0.20	0.20	0.25						
BRB	Barbados	0.55	0.90			50	60	90		0.50	0.60	0.90						
BLR	Belarus	0.15	0.20			20	10	20		0.20	0.10	0.20						
BEL	Belgium	0.85	0.80			90	80	80		0.90	0.80	0.80						
BLZ	Belize	0.50	0.50			50	50	50		0.50	0.50	0.50						
BEN	Benin	0.50	0.30			40	60	30		0.40	0.60	0.30						
BTN	Bhutan	0.30	0.60			30	30	60		0.30	0.30	0.60						
BOL	Bolivia	0.40	0.20		 	20	60	20		0.20	0.60	0.20						
BIH	Bosnia and Herzegovina	0.55	0.10		 	50	60	10		0.50	0.60	0.10						
BWA	Botswana	0.70	0.75			70	70	75		0.70	0.70	0.75						
BRA	Brazil	0.50	0.50			50	50	50		0.50	0.50	0.50						
BGR	Bulgaria	0.60	0.30			60	60	30		0.60	0.60	0.30						
BFA	Burkina Faso	0.45	0.30			40	50	30		0.40	0.50	0.30						
MMR	Burma	0.10	0.05			10	10	5		0.10	0.10	0.05						
BDI	Burundi	0.35	0.30			40	30	30		0.40	0.30	0.30						
KHM	Cambodia	0.50	0.30			50	50	30		0.50	0.50	0.30						
CMR	Cameroon	0.45	0.30			40	50	30		0.40	0.50	0.30						
CAN	Canada	0.75	0.90			70	80	90		0.70	0.80	0.90						
CPV	Cape Verde	0.60	0.70			60	60	70		0.60	0.60	0.70						
CAF	Central African Republic	0.35	0.20			40	30	20		0.40	0.30	0.20						
TCD	Chad	0.40	0.20			40	40	20		0.40	0.40	0.20						
CHL	Chile	0.75	0.90			80	70	90		0.80	0.70	0.90						
CHN	China	0.30	0.20			30	30	20		0.30	0.30	0.20						
COL	Colombia	0.60	0.40			60	60	40		0.60	0.60	0.40						
COM	Comoros	0.20	0.30			20	20	30		0.20	0.20	0.30						
CRI	Costa Rica 	0.60	0.50			70	50	50		0.70	0.50	0.50						
CIV	CÃ´te d'Ivoire 	0.50	0.30			40	60	30		0.40	0.60	0.30						
HRV	Croatia	0.55	0.30			50	60	30		0.50	0.60	0.30						
CUB	Cuba	0.10	0.10			10	10	10		0.10	0.10	0.10						
CYP	Cyprus	0.70	0.90			70	70	90		0.70	0.70	0.90						
CZE	Czech Republic	0.75	0.70			70	80	70		0.70	0.80	0.70						
ZAR	Democratic Republic of Congo	0.25	0.10			30	20	10		0.30	0.20	0.10						
DNK	Denmark	0.90	0.95			90	90	95		0.90	0.90	0.95						
DJI	Djibouti	0.55	0.30			50	60	30		0.50	0.60	0.30						
DMA	Dominica	0.45	0.60			60	30	60		0.60	0.30	0.60						
DOM	Dominican Republic	0.45	0.30			50	40	30		0.50	0.40	0.30						
ECU	Ecuador	0.35	0.25			30	40	25		0.30	0.40	0.25						
EGY	Egypt	0.50	0.40			50	50	40		0.50	0.50	0.40						
SLV	El Salvador 	0.70	0.50			70	70	50		0.70	0.70	0.50						
GNQ	Equatorial Guinea	0.35	0.30			30	40	30		0.30	0.40	0.30						
ERI	Eritrea	0.15	0.10			10	20	10		0.10	0.20	0.10						
EST	Estonia	0.85	0.90			90	80	90		0.90	0.80	0.90						
ETH	Ethiopia	0.30	0.30			40	20	30		0.40	0.20	0.30						
FJI	Fiji	0.45	0.30			30	60	30		0.30	0.60	0.30						
FIN	Finland	0.75	0.95			70	80	95		0.70	0.80	0.95						
FRA	France	0.65	0.70			60	70	70		0.60	0.70	0.70						
GAB	Gabon	0.40	0.40			40	40	40		0.40	0.40	0.40						
GEO	Georgia	0.65	0.35			70	60	35		0.70	0.60	0.35						
DEU	Germany	0.70	0.90			80	60	90		0.80	0.60	0.90						
GHA	Ghana	0.55	0.50			50	60	50		0.50	0.60	0.50						
GRC	Greece	0.50	0.50			50	50	50		0.50	0.50	0.50						
GTM	Guatemala 	0.50	0.30			50	50	30		0.50	0.50	0.30						
GIN	Guinea	0.40	0.20			40	40	20		0.40	0.40	0.20						
GNB	Guinea-Bissau	0.30	0.20			30	30	20		0.30	0.30	0.20						
GUY	Guyana	0.40	0.40			40	40	40		0.40	0.40	0.40						
HTI	Haiti	0.30	0.10			30	30	10		0.30	0.30	0.10						
HND	Honduras 	0.55	0.30			50	60	30		0.50	0.60	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.75	0.70			80	70	70		0.80	0.70	0.70						
ISL	Iceland	0.70	0.90			70	70	90		0.70	0.70	0.90						
IND	India	0.35	0.50			30	40	50		0.30	0.40	0.50						
IDN	Indonesia	0.35	0.30			30	40	30		0.30	0.40	0.30						
IRN	Iran	0.10	0.10			10	10	10		0.10	0.10	0.10						
IRL	Ireland	0.90	0.90			90	90	90		0.90	0.90	0.90						
ISR	Israel	0.75	0.70			80	70	70		0.80	0.70	0.70						
ITA	Italy	0.65	0.50			70	60	50		0.70	0.60	0.50						
JAM	Jamaica 	0.65	0.50			80	50	50		0.80	0.50	0.50						
JPN	Japan	0.55	0.70			60	50	70		0.60	0.50	0.70						
JOR	Jordan	0.55	0.55			50	60	55		0.50	0.60	0.55						
KAZ	Kazakhstan	0.45	0.25			30	60	25		0.30	0.60	0.25						
KEN	Kenya	0.50	0.30			50	50	30		0.50	0.50	0.30						
KIR	Kiribati	0.30	0.30			30	30	30		0.30	0.30	0.30						
KWT	Kuwait	0.50	0.50			50	50	50		0.50	0.50	0.50						
KGZ	Kyrgyz Republic 	0.50	0.25			50	50	25		0.50	0.50	0.25						
LAO	Laos	0.25	0.10			30	20	10		0.30	0.20	0.10						
LVA	Latvia	0.65	0.55			70	60	55		0.70	0.60	0.55						
LBN	Lebanon	0.45	0.30			30	60	30		0.30	0.60	0.30						
LSO	Lesotho	0.35	0.40			30	40	40		0.30	0.40	0.40						
LBR	Liberia	0.25	0.25			30	20	25		0.30	0.20	0.25						
LBY	Libya	0.25	0.10			30	20	10		0.30	0.20	0.10						
LTU	Lithuania	0.75	0.50			70	80	50		0.70	0.80	0.50						
LUX	Luxembourg	0.85	0.90			90	80	90		0.90	0.80	0.90						
MAC	Macau	0.70	0.60			70	70	60		0.70	0.70	0.60						
MKD	Macedonia	0.55	0.30			50	60	30		0.50	0.60	0.30						
MDG	Madagascar	0.60	0.50			70	50	50		0.70	0.50	0.50						
MWI	Malawi	0.50	0.50			50	50	50		0.50	0.50	0.50						
MYS	Malaysia 	0.40	0.50			40	40	50		0.40	0.40	0.50						
MDV	Maldives	0.30	0.30			30	30	30		0.30	0.30	0.30						
MLI	Mali	0.45	0.30			50	40	30		0.50	0.40	0.30						
MLT	Malta	0.55	0.90			50	60	90		0.50	0.60	0.90						
MRT	Mauritania	0.45	0.25			50	40	25		0.50	0.40	0.25						
MUS	Mauritius	0.75	0.60			80	70	60		0.80	0.70	0.60						
MEX	Mexico	0.55	0.50			50	60	50		0.50	0.60	0.50						
FSM	Micronesia	0.30	0.30			30	30	30		0.30	0.30	0.30						
MDA	Moldova	0.40	0.40			30	50	40		0.30	0.50	0.40						
MNG	Mongolia	0.60	0.30			60	60	30		0.60	0.60	0.30						
MNE	Montenegro	0.45	0.40			40	50	40		0.40	0.50	0.40						
MAR	Morocco	0.55	0.35			60	50	35		0.60	0.50	0.35						
MOZ	Mozambique 	0.50	0.30			50	50	30		0.50	0.50	0.30						
NAM	Namibia	0.45	0.30			40	50	30		0.40	0.50	0.30						
NPL	Nepal	0.25	0.30			20	30	30		0.20	0.30	0.30						
NZL	New Zealand	0.80	0.95			80	80	95		0.80	0.80	0.95						
NIC	Nicaragua 	0.60	0.25			70	50	25		0.70	0.50	0.25						
NER	Niger	0.45	0.30			50	40	30		0.50	0.40	0.30						
NGA	Nigeria	0.35	0.30			30	40	30		0.30	0.40	0.30						
PRK	North Korea	0.05	0.05			10	0	5		0.10	0.00	0.05						
NOR	Norway	0.60	0.90			60	60	90		0.60	0.60	0.90						
OMN	Oman	0.60	0.50			60	60	50		0.60	0.60	0.50						
PAK	Pakistan 	0.40	0.30			40	40	30		0.40	0.40	0.30						
PAN	Panama 	0.70	0.30			70	70	30		0.70	0.70	0.30						
PNG	Papua New Guinea	0.30	0.20			30	30	20		0.30	0.30	0.20						
PRY	Paraguay 	0.60	0.30			60	60	30		0.60	0.60	0.30						
PER	Peru	0.60	0.40			60	60	40		0.60	0.60	0.40						
POL	Poland	0.60	0.50			60	60	50		0.60	0.60	0.50						
PRT	Portugal	0.65	0.70			70	60	70		0.70	0.60	0.70						
QAT	Qatar	0.45	0.50			40	50	50		0.40	0.50	0.50						
COG	Republic of Congo 	0.30	0.10			30	30	10		0.30	0.30	0.10						
ROM	Romania	0.55	0.35			60	50	35		0.60	0.50	0.35						
RUS	Russia	0.35	0.25			30	40	25		0.30	0.40	0.25						
RWA	Rwanda	0.40	0.30			40	40	30		0.40	0.40	0.30						
LCA	Saint Lucia	0.40	0.70			40	40	70		0.40	0.40	0.70						
VCT	Saint Vincent and the Grenadines	0.40	0.70			40	40	70		0.40	0.40	0.70						
WSM	Samoa	0.30	0.60			30	30	60		0.30	0.30	0.60						
STP	SÃ£o TomÃ© and PrÃ	0.35	0.30			40	30	30		0.40	0.30	0.30						
SAU	Saudi Arabia	0.45	0.40			40	50	40		0.40	0.50	0.40						
SEN	Senegal	0.40	0.50			40	40	50		0.40	0.40	0.50						
SRB	Serbia 	0.45	0.40			40	50	40		0.40	0.50	0.40						
SYC	Seychelles	0.40	0.50			50	30	50		0.50	0.30	0.50						
SLE	Sierra Leone	0.25	0.10			30	20	10		0.30	0.20	0.10						
SGP	Singapore	0.65	0.90			80	50	90		0.80	0.50	0.90						
SVK	Slovakia	0.70	0.50			70	70	50		0.70	0.70	0.50						
SVN	Slovenia	0.55	0.60			60	50	60		0.60	0.50	0.60						
SLB	Solomon Islands	0.25	0.30			20	30	30		0.20	0.30	0.30						
ZAF	South Africa	0.55	0.50			50	60	50		0.50	0.60	0.50						
KOR	South Korea	0.65	0.70			70	60	70		0.70	0.60	0.70						
ESP	Spain	0.80	0.70			80	80	70		0.80	0.80	0.70						
LKA	Sri Lanka	0.30	0.40			20	40	40		0.20	0.40	0.40						
SUR	Suriname	0.30	0.40			30	30	40		0.30	0.30	0.40						
SWZ	Swaziland	0.45	0.50			50	40	50		0.50	0.40	0.50						
SWE	Sweden	0.80	0.90			80	80	90		0.80	0.80	0.90						
CHE	Switzerland	0.75	0.90			70	80	90		0.70	0.80	0.90						
SYR	Syria	0.30	0.30			40	20	30		0.40	0.20	0.30						
TWN	Taiwan	0.60	0.70			70	50	70		0.70	0.50	0.70						
TJK	Tajikistan	0.35	0.30			30	40	30		0.30	0.40	0.30						
TZA	Tanzania	0.55	0.30			60	50	30		0.60	0.50	0.30						
THA	Thailand 	0.45	0.50			30	60	50		0.30	0.60	0.50						
BHS	The Bahamas	0.55	0.75			40	70	75		0.40	0.70	0.75						
GMB	The Gambia	0.50	0.30			50	50	30		0.50	0.50	0.30						
NLD	The Netherlands	0.90	0.90			90	90	90		0.90	0.90	0.90						
PHL	The Philippines	0.45	0.30			40	50	30		0.40	0.50	0.30						
TMP	Timor-Leste	0.25	0.20			30	20	20		0.30	0.20	0.20						
TGO	Togo	0.30	0.30			30	30	30		0.30	0.30	0.30						
TON	Tonga	0.30	0.20			40	20	20		0.40	0.20	0.20						
TTO	Trinidad and Tobago	0.70	0.60			70	70	60		0.70	0.70	0.60						
TUN	Tunisia	0.30	0.50			30	30	50		0.30	0.30	0.50						
TUR	Turkey	0.50	0.50			50	50	50		0.50	0.50	0.50						
TKM	Turkmenistan	0.10	0.10			10	10	10		0.10	0.10	0.10						
UGA	Uganda	0.55	0.30			50	60	30		0.50	0.60	0.30						
UKR	Ukraine	0.35	0.30			30	40	30		0.30	0.40	0.30						
ARE	United Arab Emirates	0.40	0.40			30	50	40		0.30	0.50	0.40						
GBR	United Kingdom	0.90	0.90			90	90	90		0.90	0.90	0.90						
USA	United States	0.80	0.90			80	80	90		0.80	0.80	0.90						
URY	Uruguay 	0.50	0.70			70	30	70		0.70	0.30	0.70						
UZB	Uzbekistan	0.25	0.20			30	20	20		0.30	0.20	0.20						
VUT	Vanuatu	0.35	0.40			30	40	40		0.30	0.40	0.40						
VEN	Venezuela 	0.20	0.05			10	30	5		0.10	0.30	0.05						
VNM	Vietnam	0.30	0.10			30	30	10		0.30	0.30	0.10						
YEM	Yemen	0.40	0.30			50	30	30		0.50	0.30	0.30						
ZMB	Zambia	0.50	0.30			50	50	30		0.50	0.50	0.30						
ZWE	Zimbabwe	0.10	0.05			10	10	5		0.10	0.10	0.05						

WGI2007: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
					Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
	name	HER11RQ	HER11RL															
ALB	Albania	0.70	0.30			70	70	30		0.70	0.70	0.30						
DZA	Algeria	0.35	0.30			40	30	30		0.40	0.30	0.30						
AGO	Angola	0.30	0.20			20	40	20		0.20	0.40	0.20						
ARG	Argentina	0.45	0.30			50	40	30		0.50	0.40	0.30						
ARM	Armenia	0.70	0.35		 	70	70	35		0.70	0.70	0.35						
AUS	Australia	0.85	0.90			80	90	90		0.80	0.90	0.90						
AUT	Austria	0.70	0.90			70	70	90		0.70	0.70	0.90						
AZE	Azerbaijan	0.30	0.30			30	30	30		0.30	0.30	0.30						
BHR	Bahrain	0.75	0.60			60	90	60		0.60	0.90	0.60						
BGD	Bangladesh 	0.20	0.25			20	20	25		0.20	0.20	0.25						
BRB	Barbados	0.60	0.90			60	60	90		0.60	0.60	0.90						
BLR	Belarus	0.15	0.20			20	10	20		0.20	0.10	0.20						
BEL	Belgium	0.85	0.80			90	80	80		0.90	0.80	0.80						
BLZ	Belize	0.50	0.50			50	50	50		0.50	0.50	0.50						
BEN	Benin	0.50	0.30			40	60	30		0.40	0.60	0.30						
BOL	Bolivia	0.40	0.25		 	20	60	25		0.20	0.60	0.25						
BIH	Bosnia and Herzegovina	0.55	0.10		 	50	60	10		0.50	0.60	0.10						
BWA	Botswana	0.70	0.70			70	70	70		0.70	0.70	0.70						
BRA	Brazil	0.45	0.50			50	40	50		0.50	0.40	0.50						
BGR	Bulgaria	0.60	0.30			60	60	30		0.60	0.60	0.30						
BFA	Burkina Faso	0.45	0.30			40	50	30		0.40	0.50	0.30						
MMR	Burma	0.10	0.10			10	10	10		0.10	0.10	0.10						
BDI	Burundi	0.30	0.30			30	30	30		0.30	0.30	0.30						
KHM	Cambodia	0.50	0.30			50	50	30		0.50	0.50	0.30						
CMR	Cameroon	0.50	0.30			50	50	30		0.50	0.50	0.30						
CAN	Canada	0.75	0.90			70	80	90		0.70	0.80	0.90						
CPV	Cape Verde	0.55	0.70			60	50	70		0.60	0.50	0.70						
CAF	Central African Republic	0.35	0.20			30	40	20		0.30	0.40	0.20						
TCD	Chad	0.40	0.20			40	40	20		0.40	0.40	0.20						
CHL	Chile	0.75	0.90			80	70	90		0.80	0.70	0.90						
CHN	China	0.30	0.20			30	30	20		0.30	0.30	0.20						
COL	Colombia	0.60	0.40			60	60	40		0.60	0.60	0.40						
CRI	Costa Rica 	0.55	0.50			70	40	50		0.70	0.40	0.50						
CIV	CÃ´te d'Ivoire 	0.50	0.30			40	60	30		0.40	0.60	0.30						
HRV	Croatia	0.55	0.30			50	60	30		0.50	0.60	0.30						
CUB	Cuba	0.10	0.10			10	10	10		0.10	0.10	0.10						
CYP	Cyprus	0.70	0.90			70	70	90		0.70	0.70	0.90						
CZE	Czech Republic	0.75	0.70			70	80	70		0.70	0.80	0.70						
DNK	Denmark	0.90	0.90			90	90	90		0.90	0.90	0.90						
DJI	Djibouti	0.55	0.30			50	60	30		0.50	0.60	0.30						
DOM	Dominican Republic	0.45	0.30			50	40	30		0.50	0.40	0.30						
ECU	Ecuador	0.45	0.30			40	50	30		0.40	0.50	0.30						
EGY	Egypt	0.45	0.40			50	40	40		0.50	0.40	0.40						
SLV	El Salvador 	0.70	0.50			70	70	50		0.70	0.70	0.50						
GNQ	Equatorial Guinea	0.40	0.30			30	50	30		0.30	0.50	0.30						
EST	Estonia	0.85	0.90			90	80	90		0.90	0.80	0.90						
ETH	Ethiopia	0.30	0.30			40	20	30		0.40	0.20	0.30						
FJI	Fiji	0.45	0.30			30	60	30		0.30	0.60	0.30						
FIN	Finland	0.75	0.90			70	80	90		0.70	0.80	0.90						
FRA	France	0.65	0.70			60	70	70		0.60	0.70	0.70						
GAB	Gabon	0.40	0.40			40	40	40		0.40	0.40	0.40						
GEO	Georgia	0.65	0.35			70	60	35		0.70	0.60	0.35						
DEU	Germany	0.70	0.90			80	60	90		0.80	0.60	0.90						
GHA	Ghana	0.50	0.50			50	50	50		0.50	0.50	0.50						
GRC	Greece	0.50	0.50			50	50	50		0.50	0.50	0.50						
GTM	Guatemala 	0.50	0.30			50	50	30		0.50	0.50	0.30						
GIN	Guinea	0.45	0.30			40	50	30		0.40	0.50	0.30						
GNB	Guinea-Bissau	0.30	0.20			30	30	20		0.30	0.30	0.20						
GUY	Guyana	0.40	0.40			40	40	40		0.40	0.40	0.40						
HTI	Haiti	0.30	0.10			30	30	10		0.30	0.30	0.10						
HND	Honduras 	0.55	0.30			50	60	30		0.50	0.60	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.75	0.70			80	70	70		0.80	0.70	0.70						
ISL	Iceland	0.65	0.90			60	70	90		0.60	0.70	0.90						
IND	India	0.35	0.50			40	30	50		0.40	0.30	0.50						
