		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
ECU	Ecuador	0.38				35	40		0.35	0.40						
EGY	Egypt	0.55				60	50		0.60	0.50						
SLV	El Salvador	0.68				75	60		0.75	0.60						
GNQ	Equatorial Guinea	0.35				40	30		0.40	0.30						
ERI	Eritrea	0.10				0	20		0.00	0.20						
EST	Estonia	0.80				90	70		0.90	0.70						
ETH	Ethiopia	0.28				35	20		0.35	0.20						
FJI	Fiji	0.53				55	50		0.55	0.50						
FIN	Finland	0.83				85	80		0.85	0.80						
FRA	France	0.73				75	70		0.75	0.70						
GAB	Gabon	0.50				60	40		0.60	0.40						
GMB	The Gambia	0.58				65	50		0.65	0.50						
GEO	Georgia	0.75				80	70		0.80	0.70						
DEU	Germany	0.75				80	70		0.80	0.70						
GHA	Ghana	0.65				70	60		0.70	0.60						
GRC	Greece	0.53				55	50		0.55	0.50						
GTM	Guatemala	0.60				70	50		0.70	0.50						
GIN	Guinea	0.45				50	40		0.50	0.40						
GNB	Guinea-Bissau	0.30				30	30		0.30	0.30						
GUY	Guyana	0.43				55	30		0.55	0.30						
HTI	Haiti	0.38				45	30		0.45	0.30						
HND	Honduras	0.63				65	60		0.65	0.60						
HKG	Hong Kong	0.90				90	90		0.90	0.90						
HUN	Hungary	0.75				80	70		0.80	0.70						
ISL	Iceland	0.78				85	70		0.85	0.70						
IND	India	0.40				40	40		0.40	0.40						
IDN	Indonesia	0.53				45	60		0.45	0.60						
IRN	Iran	0.08				5	10		0.05	0.10						
IRQ	Iraq	..							..	..						
IRL	Ireland	0.80				90	70		0.90	0.70						
ISR	Israel	0.73				75	70		0.75	0.70						
ITA	Italy	0.68				85	50		0.85	0.50						
JAM	Jamaica	0.65				80	50		0.80	0.50						
JPN	Japan	0.65				70	60		0.70	0.60						
JOR	Jordan	0.65				70	60		0.70	0.60						
KAZ	Kazakhstan	0.50				50	50		0.50	0.50						
