ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 1266	1266	1	0	P	xxx	xnp	0	xxx	xxx	1	vols	"The postage stamps, envelopes, wrappers, post cards, and telegraph stamps, of the British Colonies in the West Indies, together with British Honduras and the Colonies in South America"	np	np	np	Philatelic Society	London	UK	1891	np	Royal Philatelic Society	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/902944944 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/784748440 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/562385807	"2 preliminary leaves, 180, [1] pages : illustrations, plates"	"Further see B. W. H. Poole, *The stamps of British Honduras* [London, Stamp Collectors' Fortnightly, c 1908] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/9062078"	xnp	###	
S 1268	1268	0	0	P	xxx	xnp	0	np	np	1	vols	British Honduras : outlines of its geography	np	np	np	The National Society's Depository	London	UK	1892	np	R. F. Knollys	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/17943967	56 pages ; 18 cm	xnp	xnp	###	
S 1270	1270	1	0	P	xxx	xnp	0	xxx	xxx	1	vols	"Belize Railway : Mr. R.W. Starkey's survey : reports : dated July 26th, 1892"	np	np	np	xnp	xnp	xnp	1892	np	R. W. Starkey	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/642567013 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/656510727	23 pages ; 33 cm	"Further see W. Shelford, *Belize railway survey* [London, Waterlow & Sons, 1897] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/1119523832"	xnp	###	
S 1272	1272	1	0	P	Mex 1894	Mex State 1894	0	xxx	xxx	1	vols	"Defensa del tratado de limites entre Yucatán y Belice, con respuesta á las objeciones que se han hecho en su contra, apoyada en algunos documentos inéditos y sequida de otros ya conocidos así como de los principales artículos de prensa metropolitana y yucateca que lo ha defendido"	np	np	np	Imprenta de «El Siglo Diez y Nueve»	Mexico	Mexico	1894	np	xnp	xnp	np	np	np	xnp	http://id.lib.harvard.edu/alma/990139623520203941/catalog	"xxxiv, 381, [1] p."	xnp	https://archive.org/details/defdeltratad00unseguat	###	
S 1274	1274	0	0	P	xxx	xnp	0	np	np	1	vols	Useful information as to the colony of British Honduras	np	np	np	Angelus Press	Belize	Belize	1895	np	xnp	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/642482978 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/654360109	12 pages ; 19 cm	xnp	xnp	###	
S 1276	1276	0	0	P	xxx	xnp	0	np	np	1	vols	"A charge delivered in S. John's Cathedral, Belize, Feb. 21st, 1895"	np	np	np	xnp	Belize	Belize	1895	np	xnp	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/83802222	8 pages ; 23 cm	xnp	xnp	###	
S 1278	1278	0	0	P	xxx	xnp	0	np	np	1	vols	Brief outline of the botanical efforts of the government of British Honduras	np	np	np	Angelus Press	Belize	Belize	1895	np	A. Moloney	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/642476503	23 pages ; 19 cm	"Extracted in *Bulletin of Miscellaneous Information (Royal Botanic Gardens, Kew)* 1896(113–114) pp 101–105 [1896] Link: http://proxygw.wrlc.org/login?url=https://www.jstor.org/stable/4119456"	xnp	###	
S 1280	1280	0	0	A	xxx	xnp	0	np	np	np	np	"British rule in Central America, or A sketch of Mosquito history"	np	np	np	np	np	np	1895	np	I. D. Travis	xnp	Publications of the Michigan Political Science Association	1	5	xnp	xnp	pp 1–36	xnp	https://hdl.handle.net/2027/uiuo.ark:/13960/t71v86569?urlappend=%3Bseq=381	###	
S 1282	1282	0	0	P	xxx	xnp	0	np	np	1	vols	"Historical sketch of the Catholic mission in British Honduras from 1851 to 1893, together with a catalogue of the missioners who have come to British Honduras since 1893"	np	np	np	Angelus Press	Belize	Belize	1897	np	xnp	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/35717337	43 pages	xnp	xnp	###	
S 1284	1284	1	0	P	xxx	xnp	0	1887	1897	1	vols	"A collection of the ordinances in force, 3rd July, 1897, passed by the Legislative council of British Honduras, A.D. 1887-1896 (inclusive)"	np	np	np	Waterlow & Sons	London	UK	1897	np	A. J. K. Young	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/19796296 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/22644390	263 pages ; 29 cm	xnp	xnp	###	
