ID	NO	START 0	LOG T ENG F ALL	Q 0	CF 0	LOG T JAM F ALL	Q 1	CF 1	LOG T BOS F ALL	Q 2	CF 2	NOTE 0	LOG T NYC F ALL	Q 3	CF 3	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF 4	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF 5	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF 6	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF 7	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF 8	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF 9	ALL T GB F HON 0	LOG T GB F HON	MAH T GB F HON	CF 10	ALL T HON F ALL 1	ALL T ALL F HON 1	ALL T ALL F HON REEXP 1	ALL T HON F GB 1	ALL T GB F HON 1	CF 11	NOTE 1	ALL T HON F ALL 2	ALL T ALL F HON 2	ALL T ALL F HON REEXP 2	ALL T HON F GB 2	ALL T GB F HON 2	CF 12	NOTE 2	END	
T 190	190	1765	"6,058.00"	4.0	CUST 3/65	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£11,874.28"	"£8,220.00"	£123.00	CUST 3/65	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 192	192	1766	"10,538.81"	4.0	CUST 3/66	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£11,601.13"	"£8,098.84"	"£2,091.20"	CUST 3/66	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 194	194	1767	"9,098.50"	4.0	CUST 3/67	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£15,216.73"	"£13,838.78"	£7.00	CUST 3/67	£394.68	£387.30	£7.38	CUST 3/67	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 196	196	1768	"9,597.59"	4.0	CUST 3/68	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	£0.00	£0.00	£0.00	CUST 3/68	"£4,000.06"	"£3,336.00"	£664.06	CUST 3/68	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 198	198	1769	"10,367.78"	4.0	CUST 3/69	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£7,456.50"	"£7,239.98"	£211.85	CUST 3/69	"£74,037.63"	"£59,532.00"	"£6,275.00"	CUST 3/69	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 200	200	1770	"10,590.17"	4.0	CUST 3/70	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£79,409.53"	"£67,320.00"	£0.90	CUST 3/70	"£6,249.83"	"£6,082.50"	£167.33	CUST 3/70	"£1,597.60"	£394.23	"£1,200.00"	CUST 3/70	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 202	202	1771	"3,466.16"	4.0	CUST 3/71	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£34,087.48"	"£14,232.98"	"£18,717.00"	CUST 3/71	"£5,275.56"	"£2,688.00"	"£1,858.00"	CUST 3/71	"£5,119.15"	£182.00	"£4,936.25"	CUST 14/1B	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 204	204	1772	"6,663.19"	4.0	CUST 3/72	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£51,079.69"	"£37,052.93"	"£13,820.92"	CUST 3/72	"£15,580.15"	"£2,088.00"	"£11,641.00"	CUST 3/72	"£31,542.50"	£0.00	"£31,542.50"	CUST 14/1B	"£147,024.37"	"£40,568.93"	"£25,469.92"	CUST 17/1	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 206	206	1773	"2,180.99"	4.0	CUST 3/73	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£21,377.69"	"£8,727.28"	"£9,852.00"	CUST 3/73	"£14,563.59"	"£1,620.00"	"£7,361.00"	CUST 3/73	"£5,415.50"	£273.00	"£5,142.50"	CUST 14/1B	"£70,203.52"	"£10,347.28"	"£17,213.00"	CUST 17/2	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 208	208	1774	"1,978.06"	4.0	CUST 3/74	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£25,253.98"	"£9,091.65"	"£14,906.64"	CUST 3/74	"£8,694.48"	£888.00	"£3,754.00"	CUST 3/74	"£29,444.28"	£301.00	"£29,129.38"	CUST 14/1B	xnp	xnp	xnp	xnp	"£507,140.23"	"£9,979.65"	"£18,660.64"	CUST 17/3	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 210	210	1775	"2,754.33"	4.0	CUST 3/75	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£43,180.32"	"£17,997.64"	"£23,944.65"	CUST 3/75	"£7,849.93"	£360.00	"£3,520.00"	CUST 3/75	£0.16	£0.00	£0.00	CUST 14/2	xnp	xnp	xnp	xnp	"£509,546.77"	"£18,581.45"	"£27,480.65"	CUST 17/4	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 212	212	1776	"1,548.36"	4.0	CUST 3/76	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£30,007.45"	"£9,280.39"	"£20,441.50"	CUST 3/76	"£2,468.80"	£0.00	£0.00	CUST 3/76	"£9,851.80"	£245.00	"£9,605.75"	CUST 14/2	xnp	xnp	xnp	xnp	"£470,586.97"	"£9,364.39"	"£20,441.50"	CUST 17/4	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 214	214	1777	"1,892.97"	4.0	CUST 3/77	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£27,744.38"	"£7,510.28"	"£19,512.00"	CUST 3/77	"£5,282.30"	£0.00	"£2,700.00"	CUST 3/77	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£352,319.53"	"£7,821.46"	"£22,221.00"	CUST 17/5	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 216	216	1778	"2,264.25"	4.0	CUST 3/78	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£44,003.70"	"£10,266.19"	"£32,220.00"	CUST 3/78	"£6,620.98"	£480.00	"£4,050.00"	CUST 3/78	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£461,535.17"	"£10,746.19"	"£36,270.00"	CUST 17/5	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 218	218	1779	"4,403.45"	4.0	CUST 3/79	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£10,690.08"	"£2,920.20"	"£6,682.00"	CUST 3/79	£48.61	£0.00	£0.00	CUST 3/79	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£349,527.15"	"£2,918.20"	"£6,607.00"	CUST 17/6	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 220	220	1780	"4,296.05"	4.0	CUST 3/80	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	£14.05	£0.00	£0.00	CUST 3/80	"£1,527.15"	£540.00	£192.00	CUST 3/80	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£262,111.95"	£570.00	£192.00	CUST 17/6	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 222	222	1781	"3,056.68"	4.0	CUST 17/7	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£248,897.89"	£35.70	£0.00	CUST 17/7	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 224	224	1782	"1,440.60"	4.0	CUST 17/7	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£562,790.33"	£11.87	£194.00	CUST 17/7	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 226	226	1783	"1,140.45"	4.0	CUST 17/8	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£1,240.00"	£140.00	"£1,100.00"	CUST 14/4	xnp	xnp	xnp	xnp	"£474,456.00"	£52.88	£650.00	CUST 17/8	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 228	228	1784	"2,323.39"	4.0	CUST 17/8	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£388,920.07"	"£1,200.00"	"£12,788.75"	CUST 17/8	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 230	230	1785	"11,683.07"	4.0	CUST 17/9	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	£825.00	£0.00	£825.00	CUST 14/5	xnp	xnp	xnp	xnp	"£426,730.18"	"£6,410.37"	"£41,136.36"	CUST 17/9	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 232	232	1786	"15,471.54"	4.0	CUST 17/9	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£381,286.61"	"£10,815.76"	"£44,358.89"	CUST 17/9	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 234	234	1787	"8,795.04"	4.0	CUST 17/10	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£3,868.97"	£55.21	"£3,813.78"	CUST 14/6	xnp	xnp	xnp	xnp	"£508,524.82"	"£16,036.61"	"£75,609.57"	CUST 17/10	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 236	236	1788	"6,333.87"	4.0	CUST 17/10	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£8,071.71"	£392.00	"£7,587.30"	CUST 14/7	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£279,428.08"	"£20,348.15"	"£189,340.40"	CUST 17/10	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 238	238	1789	"7,346.07"	4.0	CUST 17/11	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£11,974.65"	£510.46	"£11,439.61"	CUST 14/8	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£119,548.67"	"£25,327.16"	"£92,623.31"	CUST 17/11	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 240	240	1790	"6,015.12"	4.0	CUST 17/12	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£4,060.28"	£159.85	"£3,857.12"	CUST 14/9	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£100,298.98"	"£19,280.33"	"£78,928.40"	CUST 17/12	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 242	242	1791	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£15,899.26"	£360.50	"£15,382.13"	CUST 14/10	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£52,900.45"	"£8,350.19"	"£40,923.35"	CUST 17/13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 244	244	1792	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£9,599.20"	£413.00	"£9,166.70"	CUST 14/11	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£64,509.11"	"£13,492.15"	"£45,963.51"	CUST 17/14	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 246	246	1793	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£4,763.41"	£145.25	"£4,565.00"	CUST 14/12	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£47,192.50"	"£5,106.14"	"£35,375.28"	CUST 17/15	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 248	248	1794	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£19,321.22"	£535.00	"£18,712.45"	CUST 14/12	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£42,885.23"	"£8,064.92"	"£33,009.85"	CUST 17/16	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 250	250	1795	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£20,366.35"	"£4,693.98"	"£15,217.65"	CUST 17/17	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 252	252	1796	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£2,963.15"	£238.00	"£2,725.15"	CUST 14/13A	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£26,418.33"	"£10,529.30"	"£15,113.70"	CUST 17/18	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 254	254	1797	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£38,276.98"	"£11,974.13"	"£26,163.02"	CUST 17/19	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 256	256	1798	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£6,579.39"	"£1,927.77"	"£4,406.83"	CUST 17/20	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 258	258	1799	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	£920.03	£0.00	£0.00	CUST 17/21	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 260	260	1800	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£6,642.18"	£294.24	"£6,341.82"	CUST 14/13A	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£16,777.75"	"£1,658.40"	"£14,805.28"	CUST 17/22	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 262	262	1801	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	£232.26	£0.00	£232.26	CUST 14/14	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£17,642.39"	"£2,804.13"	"£13,632.60"	CUST 17/23	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 264	264	1802	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£3,478.84"	£83.91	"£3,394.93"	CUST 14/15	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£59,848.82"	"£9,149.00"	"£49,883.90"	CUST 17/24	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 266	266	1803	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£12,668.33"	£582.65	"£12,073.69"	CUST 14/16	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£91,934.19"	"£14,886.67"	"£75,432.56"	CUST 17/25	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 268	268	1804	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£13,327.51"	£439.73	"£12,887.79"	CUST 14/17	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£86,115.80"	"£11,153.98"	"£73,284.13"	CUST 17/26	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 270	270	1805	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£11,678.64"	£587.48	"£11,091.15"	CUST 14/18	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£83,777.10"	"£11,427.14"	"£71,360.34"	CUST 17/27	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 272	272	1806	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£15,598.15"	£749.19	"£14,848.97"	CUST 14/19	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£76,244.75"	"£10,934.17"	"£64,881.96"	CUST 17/28	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 274	274	1807	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£11,859.58"	£435.03	"£11,395.25"	CUST 14/20	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£60,013.10"	"£10,429.84"	"£49,154.70"	CUST 17/29	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 276	276	1808	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£17,166.96"	£581.69	"£16,560.90"	CUST 14/21	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£61,045.57"	"£8,252.05"	"£52,334.43"	CUST 17/30	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 278	278	1809	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£59,816.62"	"£10,063.98"	"£48,599.69"	CUST 4/5	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 280	280	1810	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£74,979.92"	"£12,205.43"	"£61,878.63"	CUST 4/6	xnp	xnp	xnp	xnp	"£17,144.81"	£425.18	"£16,677.50"	CUST 14/22	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 282	282	1811	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£95,795.02"	"£16,079.40"	"£78,330.22"	CUST 4/7	xnp	xnp	xnp	xnp	"£9,581.46"	£338.98	"£9,237.23"	CUST 14/23	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 284	284	1812	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£71,670.21"	"£11,665.87"	"£59,537.66"	CUST 4/8	xnp	xnp	xnp	xnp	"£20,547.96"	£951.60	"£19,596.36"	CUST 14/24	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
T 286	286	1813	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"£15,146.40"	£599.63	"£14,533.95"	CUST 14/25	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
