ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 337	337	1	1	M	MMS zzz	WMMS zzz / MMSL zzz	0	1691	2018	1441	boxes	(Wesleyan) Methodist Missionary Society Archive	SOAS University of London	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	http://archives.soas.ac.uk/CalmView/Record.aspx?src=CalmView.Catalog&id=MMS / https://archiveshub.jisc.ac.uk/data/gb102-mms	np	"See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532306 / Inc MMSL AM-CR1 = Kenneth E. Towers, Methodism in the Tropical West SOAS: https://library.soas.ac.uk/Record/502041"	xnp	###	
S 339	339	1	1	M	Somerset DD/WHh/nn	xnp	1	1201	2000	59	boxes	HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/DD/WHh	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532165	xnp	###	
S 341	341	1	1	M	xxx	xnp	0	1676	1676	1	items	Informations. 5 Jun 1676	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/Q/SR/130/30	np	xnp	xnp	###	
S 343	343	1	1	M	xxx	xnp	0	1715	1804	20	items	Miscellaneous papers. 1715-1804	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/DD/GC/75 / https://discovery.nationalarchives.gov.uk/details/r/7ccad671-42b0-4443-af43-8ce92708a1b2	np	xnp	xnp	###	
S 345	345	1	1	M	xxx	xnp	0	1849	1890	1	vols	Notes on the building of chapels. 1849-1890	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/D/N/wsc/7/9	np	xnp	xnp	###	
S 347	347	1	1	M	xxx	xnp	0	1545	2004	153	boxes	"PAPERS OF THE DICKINSON FAMILY OF KINGWESTON, 1545-2004"	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/DD/DN	np	xnp	xnp	###	
S 349	349	1	1	M	xxx	xnp	0	1701	1703	1	vols	"Papers of William Sealy, Bridgwater. 1701-1703"	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/DD/X/PG/1 / https://discovery.nationalarchives.gov.uk/details/r/0b456dfd-f00d-4420-a175-b6c0d7368761	np	xnp	xnp	###	
S 351	351	1	1	M	xxx	xnp	0	1150	2003	510	boxes	"WYNDHAM OF ORCHARD WYNDHAM, mid 12th century-2003"	Somerset Heritage Centre	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://somerset-cat.swheritage.org.uk/records/DD/WY	np	xnp	xnp	###	
S 353	353	1	1	M	xxx	xnp	0	1679	1981	xxx	xxx	735 Inventaris van het Archief van de Firma Hope & Co. met verwante archiefvormers	Stadsarchief Amsterdam	Amsterdam	Netherlands	np	np	np	np	np	np	np	np	np	np	xnp	https://archief.amsterdam/inventarissen/details/735/keywords/Hope%20en%20Co./withscans/0/start/0/limit/10/flimit/5	np	xnp	xnp	###	
S 355	355	1	1	M	xxx	xnp	0	1912	1968	12	feet	"Papers, Mark F. Boyd"	State Library and Archives of Florida	Tallahassee	USA	np	np	np	np	np	np	np	np	np	np	xnp	"http://archivescatalog.info.florida.gov/default.asp?IDCFile=/fsa/detailss.idc,SPECIFIC=2709,DATABASE=SERIES, / http://www.worldcat.org/oclc/32413184"	np	xnp	xnp	###	
S 357	357	1	1	M	xxx	xnp	0	1801	1817	16	items	Henry Drinker Letters to Isaac Hicks	Swarthmore College	Swarthmore	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://archives.tricolib.brynmawr.edu/repositories/7/resources/8705	np	xnp	xnp	###	
S 359	359	1	1	M	xxx	xnp	0	1736	1951	5	feet	"Document collection, Randolph Lee"	Town of Yorktown Museum	Yorktown Heights	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/155544450	np	Online catalogue not available on 14 Oct 2021 at http://yorktownmuseum.org	xnp	###	
